chapitre	chapter
i	i
–	-
le	the
grand-père	grand-father
arie	arie
ressentait	felt
la	the
fatigue	fatigue
et	and
ne	do
se	is
sentait	felt
plus	more
force	force
d’attendre	wait
père	father
noël	christmas
elle	it
avait	had
bien	well
mangé	ate
trop	too
même	even
croyait	believed
que	that
son	its
ventre	belly
allait	would
éclater	burst
telle-	such-
ment	ment
englouti	engulfed
de	of
gâteaux	cakes
à	to
chantilly	chantilly
pour	for
oublier	forget
dinde	turkey
aux	the
marrons	brown
pourquoi	why
papa	dad
veut-il	does he want to
toujours	always
je	I
mange	eat
viande	meat
c’est	it is
dégoûtant	disgusting
manger	eat
nos	our
amis	friends
les	the
animaux	animals
pensait-elle	she thought
regarda	looked at
ours	bear
sa	its
poule	hen
en	in
peluche	plush
chérissait	cherished
ses	its
dormait	slept
avec	with
eux	them
possible	possible
détestait	hated
aussi	also
lors-	when-
maman	mom
criait	shouted
il	it
faut	must
nettoyer	clean
tes	your
nounours	teddy bear
cocotte	casserole
n’aimait	never liked
pas	not
être	be
lavée	washed
perdait	lost
toutes	all
plumes	feathers
peau	skin
trouait	pulsed
heureusement	fortunately
y	there
nicolas	nicolas
prenait	took
sur	on
genoux	knees
lui	him
caressait	caressed
che-	che-
veux	want to
était	was
gentil	nice
savait	knew
expliquer	explain
quantité	quantity
choses	things
par	by
exemple	example
vivait	lived
très	very
haut	top
dans	in
ciel	sky
maison	home
un	a
cumulonimbus	cumulonimbus
comme	as
nuages	clouds
bou-	bou-
geaient	geaient
tout	all
temps	time
pouvait	could
avoir	have
d’habitation	housing
fixe	fixed
Était-ce	Was it
vrai	true
marie	mary
écrit	written
au	the
cependant	however
annoncé	announced
si	if
désirait	wanted
une	a
réponse	response
fallait	had to
qu’elle	it
donne	gives
lettre	letter
ainsi	as well
l’avait	had
postée	posted
puis	then
quelques	a few
jours	days
tard	later
pris	taken
avion	aircraft
s’était	had
rendu	rendering
sommet	summit
du	the
aperçu	overview
ils	they
s’étaient	had
adressé	sent
parole	word
ensuite	then
après	after
fait	fact
grosse	big
bise	bise
joue	plays
vieil	old
homme	man
obtenu	obtained
colis	package
espérait	hoped
recevoir	receive
bientôt	soon
rencontrerait-elle	would it
bâilla	yawned
fort	fort
faisait	was
mal	evil
n’arrivait	there was
respirer	breathe
j’ai	I
sommeil	sleep
peux	can
aller	go
me	me
coucher	bedroom
fit	fit
caresse	caress
mais	but
on	it
aurait	would
dit	said
entendue	heard
m	m
-	-
10	10
adultes	adults
vivaient	lived
entre	between
étaient	were
grands	great
encombrants	bulky
pleins	full
rides	wrinkles
discutaient	discussing
tas	heap
l’on	we
comprendre	understand
quand	when
connaître	know
mots	words
c’était	it was
sens	meaning
déchiffrait	deciphered
ce	this
soir-là	evening
criaient	screaming
tous	all
ensemble	all
chacun	each
conversait	was conversing
personne	person
n’écoutait	not listened to
l’autre	the other
monde	world
malin	malin
pensait	thought
beau	beautiful
intelligent	smart
là	there
disait	said
encore	yet
taisez-vous	shut up, you
dieu	god
parle	speaks
voyait	saw
quel	what
voulait	wanted
parler	talk
prêtait	lent
l’oreille	the ear
divers	various
bruits	noise
n’entendait	did
mon	my
entend	means
voix	voice
moi	me
n’entends	do not hear
rien	nothing
passait	passed
des	of
heures	hours
toilettes	toilet
magicienne	magician
sans	without
doute	doubt
matin	morning
bondissait	jumped
lit	bed
fon-	fon-
çait	çait
lavabo	sink
cheveux	hair
yeux	eyes
noirs	black
caca	poo
médor	sweety
blanche	white
cela	this
res-	res-
semblait	seemed
farine	flour
longtemps	for a long time
sortait	out
reconnaître	recognize
alors	then
automate	plc
lan-	lan-
tu	you
es	es
splendide	splendid
ma	my
chérie	sweetheart
comprenait	included
trouve	find
délicieuse	delicious
parce	because
recouverte	covered
d’un	a
onguent	ointment
gluant	sticky
rouge	red
expliqué	explained
vois	see
femmes	women
font	do
est	is
douce	soft
rajeunit	rejuvenates
disparaissent	disappear
beurk	yuck
lâchait	let go
texte	text
crème	cream
magique	magic
graisse	fat
dindon-	turkey-
neau	neau
cochonnet	pig
entendait	heard
seigneur	lord
puissant	powerful
peu	little
folle	crazy
À	To
côté	side
mamie	grandma
pauvres	poor
usés	worn
depuis	since
puisqu’ils	since they
agriculteurs	farmers
nom-	name-
breuses	many
générations	generations
momifiée	mummified
tellement	so
