chapitre	chapter
vii	vii
–	-
rencontre	meeting
avec	with
le	the
père	father
noël	christmas
e	e
et	and
son	its
baudet	baudet
habitaient	lived
en	in
de	of
nombreux	many
lieux	places
pour	for
y	there
accéder	access
sans	without
avoir	have
à	to
prendre	take
ni	or
traî-	traî-
neau	neau
les	the
transports	transport
commun	common
utilisait	used
une	a
technologie	technology
divine	divine
basée	based
sur	on
trous	holes
ver	worm
l’espace-temps	the space-time
ensuite	then
il	it
se	is
téléportait	téléportait
passant	from
au	the
travers	through
tableaux	tables
go-	gb-
lem	lem
c’était	it was
cette	this
même	even
technomagie	magitech
que	that
distribuait	distributed
tous	all
cadeaux	gifts
du	the
monde	world
simple	simple
soirée	evening
est	is
théoriquement	theoretically
bien	well
plus	more
âgé	old
vieux	old
des	of
gnomes	gnomes
avoua	admitted
lutin	pixie
si	if
connaît	knows
recoins	corners
la	the
planète	planet
troupe	troop
débarqua	landed
premier	first
lieu	place
dans	in
un	a
endroit	place
glacial	icy
pôle	pole
nord-américain	north american
d’alaska	alaska
maison	home
qui	that
hébergeait	hosting
tableau	table
était	was
aussi	also
déserte	deserted
l’était	the was
château	castle
s’agissait	was
d’une	a
grande	great
étages	floors
balcons	balconies
surplombant	overlooking
montagne	mountain
ils	they
assistèrent	attended
magnifique	beautiful
coucher	bedroom
soleil	sun
grands	great
lacs	lakes
partout	everywhere
forêts	forests
splendides	splendid
lord	lord
païen	pagan
semblait	seemed
élu	elected
domicile	home
mais	but
n’était	there was
pas	not
présent	this
repassèrent	repassèrent
par	by
cave	cellar
puis	then
changèrent	changed
projeta	projected
vers	to
rovaniemi	rovaniemi
autre	other
korvatun-	korvatun-
turi	turi
toujours	always
laponie	lapland
finlandaise	Finnish
n’avait	had
semblait-il	it seemed
choisi	chosen
résider	reside
passer	pass
fêtes	holidays
où	where
pouvait-il	could he
donc	so
être	be
deux	two
autres	other
envoyèrent	sent
nos	our
amis	friends
amsterdam	amsterdam
là	there
s’appelait	called
sinter	sinter
klass	klass
new	new
york	york
on	it
l’appelait	the called
santa	santa
claus	claus
d’amsterdam	amsterdam
vide	empty
apparte-	flats
ments	ments
l’intérieur	inside
bâtisse	building
seigneuriale	stately
servaient	served
d’héber-	eber-
gement	gement
occasionnel	casual
gnome	gnome
sa	its
gnomide	gnomide
faisaient	were
office	office
majordomes	butlers
n’avaient	had
croisé	cross
depuis	since
mo-	mo-
ment	ment
sommet	summit
d’un	a
gratte-ciel	skyscraper
manhattan	manhattan
bureaux	offices
étaient	were
vides	empty
ni-	nor-
veaux	calves
jouets	toys
traînaient	hanging out
coins	corners
recouverts	covered
papiers	papers
d’emballage	packaging
avait	had
coupé	cut
courant	current
admira	admired
paysage	landscape
silence	silence
voyait	saw
choses	things
extraordinaires	extraordinary
l	the
-	-
136	136
l’autre	the other
ne	do
jamais	never
vermeilleux	vermeilleux
n’y	there
nous	we
reste	rest
qu’un	a
dernier	last
dit	said
origan	oregano
enfants	children
demandèrent	asked
leur	their
expliquer	explain
l’histoire	the story
d’où	where
venait-il	was it
pouvoirs	powers
demi-dieu	demi-god
également	also
seule	only
entité	entity
humaine	human
extraordinaire	extraordinary
séjourner	stay
terre	earth
raconta	told
né	born
l’an	the year
cent	cent
cinquante	fifty
après	after
jésus-	jesus
christ	christ
sud-ouest	south-west
turquie	turkey
asie	asia
mineure	minor
ville	city
patara	patara
sein	within
riche	rich
pieuse	pious
famille	family
chrétienne	christian
en-	in-
suite	suite
devenu	now
l’Évêque	the Bishop
nicolas	nicolas
lycie	lycia
comme	as
tout	all
humain	human
saint-nicolas	saint-nicolas
mourut	died
six	six
décembre	December
l’âge	the age
quatre-vingt-	four-twenty-
dix	ten
ans	years
environ	about
certains	some
d’ailleurs	moreover,
choisirent	chose
fêter	celebrate
non	not
vingt-cinq	twenty-five
l’ensevelit	the buried
alors	then
tombeau	tomb
marbre	marble
myra	myra
saint-	saint-
mort	death
poursuivit	continued
ses	its
miracles	miracles
sources	sources
d’eau	water
aux	the
vertus	virtues
curatives	healing
jaillirent	out
tombe	falls
longtemps	for a long time
lutins	goblins
latins	Latin
détruisi-	détruisi-
rent	rent
encore	yet
tard	later
quarante-sept	forty-seven
garous-	garous-
gouras	gouras
provenant	from
d’italie	italy
profanèrent	profanèrent
saint-père	holy father
dérobèrent	dérobèrent
ossements	bones
reliques	relics
qu’ils	they
emportè-	emportè-
cité	city
italienne	Italian
(dénommée	(referred to as
bari)	bari)
Étrangement	Strangely
saint	saint
continuaient	continued
d’accomplir	to accomplish
elles	they
protégeaient	protected
gnomes-brigands	gnomes-robbers
sauvaient	saved
passants	passers-by
noyade	drowning
ramenaient	back
leurs	their
parents	parents
égarés	lost
ou	or
enlevés	removed
quelques	a few
années	years
l’arrivée	the arrival
italie	italy
lorrain	lorraine
dénommé	referred to as
julenisse	julenisse
revenait	back
croisade	crusade
jérusa-	jérusa-
passa	spent
bari	bari
fut	was
très	very
médusé	stunned
tant	as
prodiges	wonders
déroba	stole
garous-gouras	garous-gouras
phalange	phalanx
d’index	index
notre	our
bon	good
l’emmena	took it to
natale	native
bretagne	britain
car	because
étonné	surprised
homme	man
décédé	deceased
puisse	can
faire	do
détenait	held
secrets	secrets
réincarnation	reincarnation
qu’il	it
l’ami	the friend
dieu	god
borgne	one-eyed
décida	decided
ressusciter	resurrect
l’os	the os
re-	re-
couvrit	covered
chair	flesh
corps	body
vieillard	old man
restauré	restored
tête	head
pieds	feet
regarda	looked at
petite	small
parlait	spoke
137	137
hommes	men
n’ont	have
pouvoir	power
pensait	thought
jus-	juice-
qu’alors	then
sont	are
dieux	gods
meurent	die
ce	this
sera	will be
immortel	immortal
c’est	it is
ton	your
ami	friend
a	has
redonné	given
existence	existence
quatre-vingt-dix	four-twenty-ten
conclut	concludes
marie	mary
exact	exact
restés	stayed
expédia	shipped
restait	remained
fait	fact
émerger	emerge
villa	villa
ensoleillée	sunny
entourée	surrounded
immense	huge
jardin	garden
fleuri	flower
petits	small
troncs	trunks
tenait	held
pancarte	sign
bois	wood
indiquant	indicating
tâche	task
d’être	to be
toutefois	however
t’estime	you estimated
point	point
balayait	swept
secteur	sector
rayons	ray
évidence	obviously
chaise	chair
longue	long
portait	wore
lunettes	glasses
paraissait	seemed
somnoler	dozing
je	I
suis	am
déjà	already
venue	coming
ici	here
déclara	said
Éla	Elah
sauf	except
me	me
rappe-	raps-
lais	lais
comment	how
j’y	I
étais	was
parvenu	managed
À	To
revient	returns
marchais	walked
sombres	dark
couloirs	corridors
quand	when
soudain	suddenly
retrouvée	found
côtés	sides
apparus	appeared
j’ai	I
fui	fled
champ	field
couloir	hallway
hum	hum
turque	Turkish
invisible	invisible
l’extérieur	outside
peut	can
sortir	out
autrement	otherwise
qu’en	in
retournant	returning
là-bas	there
trouve	find
véritable	true
tableaux-porteurs	tables-holders
décédés	deceased
constitués	made
vapeur	steam
déplacent	move
n’écoutait	not listened to
elle	it
regardait	watched
effare-	effare-
s’approcha	approached
doucement	gently
mains	hands
pendantes	pending
dormait	slept
pourquoi	why
reconnaissait-elle	recognized-it
visage	face
familier	familiar
pourtant	yet
parvenait	could
l’identifier	identify
nom	name
bout	end
langue	language
râla-t-elle	râla-t-it
cela	this
vient	comes
annonça	announced
séverin	séverin
prends	take
idiote	silly
pesta-t-elle	pesta-t-it
souriant	smiling
reconnaître	recognize
qu’à	as
regarder	watch
manière	way
dont	which
s’habille	dresses
quel	what
problème	problem
cas	case
rappelle	remember
vu	seen
138	138
moi	me
tien	tien
parce	because
tu	you
m’as	me
s’étonna	was surprised
effet	effect
répondit-il	he replied
n’avoua	not admitted
réciprocité	reciprocity
ces	these
sensations	sensations
raison	reason
principale	main
laquelle	which
qu’Éla	that Elah
soit	either
eux	them
l’aventure	the adventure
étranges	strange
conclut-elle	she concludes
cho-	cho-
cocotte	casserole
n’en	do
pouvait	could
rien	nothing
ingurgité	chugged
heures	hours
gratta	scratched
sol	soil
frénétiquement	frantically
recher-	research
che	che
oui	yes
rares	rare
insectes	insects
labourait	plowing
attrapait	caught
qu’elle	it
harry	harry
sâ	'sâ
quittait	left
yeux	eyes
drôle	funny
d’animal	animal
pensait-il	he thought
poule	hen
dépense	expenditure
énergie	energy
folle	crazy
trouver	find
quoi	what
manger	eat
jugea	found
étrange	strange
est-ce	is this
magie	magic
trois	three
s’étaient	had
approchés	approached
l’homme	the man
dor-	dor-
mait	mait
temps	time
grattait	scratched
barbe	beard
main	hand
sembla	seemed
chercher	search
quelque	some
chose	thing
verre	glass
l’attrapa	caught
afin	in order
l’éloigner	away
bras	arm
chercha	sought
tâtonnant	groping
long	long
moment	time
front	front
plissa	wrinkled
ouvrit	opened
contre	against
toute	any
attente	waiting
aperçut	saw
seulement	only
sustentation	levitation
l’arracha	tore it off
but	purpose
contenu	content
suait	was sweating
chaud	hot
leva	rose
ramassa	picked up
parasol	parasol
fixa	fixa
au-dessus	above
regardaient	watched
ignorer	ignore
ainsi	as well
livre	book
jardinage	gardening
arbres	trees
fruitiers	fruit
commença	started
parcourir	browse
qu’est-ce	what is this
chuchota	whispered
croirait	like
voir	see
voit	see
affirma	said
garde	guard
l’en	the
empêche	prevents
s’il	if it
hypnotisé	hypnotized
renchérit	adds
répéta	repeated
139	139
sous	under
influence	influence
hypnotique	hypnotic
celle	the
l’arlequin	the harlequin
présume	assumed
étonnant	amazing
parvienne	to reach
s’en	in
débar-	debar-
rasser	rasser
crois	believe
m’avais	I had
expliqué	explained
s’occupait	was
d’arbres	trees
au-	at-
paravant	before
faisait	was
exactement	exactly
mêmes	same
gestes	gestures
tourne	turns
rond	round
autour	around
l’obsède	the obsessed
plaça	plaça
derrière	behind
observa	watched
lecture	reading
lire	read
relire	read
page	page
tournait-il	turned it
bâilla	yawned
comprit	understood
s’ennuyait	bored
indéfiniment	indefinitely
tourna	turned
elle-même	itself
offusque	one
cependant	however
air	air
changea	changed
découvrait	discovered
pre-	pre-
mière	st
fois	time
première	first
pages	pages
face	in the face of
intéressant	interesting
acheva	completed
bas	the bottom
troisième	third
recommença	again
sottement	foolishly
début	beginning
seconde	second
s’exclama	exclaimed
peux-tu	can you
tourner	turn
ma	my
place	place
semble	seems
incapable	unable
seul	only
lorsqu’il	when it
lit	bed
relit	replays
finit	ends
s’endormir	falling asleep
aide-le	help-
progresser	progress
curieuse	curious
fera	will
achève	ends
entendu	heard
vais	'll
tour	tour
peut-être	maybe
a-t-il	there
découvrir	discover
renne	reindeer
retrouvé	found
trace	trace
l’âne	the ass
été	been
compagnon	companion
jeu	game
autrefois	once
séjournait	staying
