chapitre	chapter
viii	viii
–	-
retour	return
à	to
la	the
maison	home
arie	arie
se	is
réveilla	woke up
en	in
bâillant	yawning
finalement	finally
elle	it
avait	had
bien	well
dormi	slept
minou	kitty
était	was
là	there
ronronnant	purring
enfoui	buried
l’intérieur	inside
de	of
son	its
pyjama	pajamas
rouge	red
parsemé	dotted
blanc	white
tu	you
me	me
chatouilles	tickling
et	and
griffes	claws
pouffa-t-elle	pouffa-t-it
leva	rose
tranquillement	quietly
où	where
ai-je	I
mis	put
mon	my
ours	bear
peluche	plush
demanda-t-elle	he asked as she
le	the
chercha	sought
des	of
yeux	eyes
souleva	raised
les	the
draps	sheets
regarda	looked at
sous	under
lit	bed
pas	not
nounours	teddy bear
tableau	table
toute	any
toile	canvas
changé	changed
ressemblait	looked like
une	a
photographie	photography
famille	family
sur	on
laquelle	which
on	it
apercevait	caught sight of
père	father
noël	christmas
entouré	surrounded
ses	its
rennes	rennes
léon	leon
fouettard	black peter from the scene
origan	oregano
clou	nail
girofle	clove
tenaient	held
retrait	withdrawal
gauche	left
il	it
y	there
grosse	big
poule	hen
un	a
escalada	escalada
alla	alla
poser	ask
nez	nose
contre	against
pour	for
regarder	watch
détails	details
passa	spent
doigt	finger
surface	surface
distingua	distinguished
ces	these
mains	hands
minuscules	tiny
qui	that
voulaient	wanted
l’attraper	the catch
alors	then
retira	retired
n’y	there
plus	more
doute	doubt
peluches	lint
n’avaient	had
dispa-	dispa-
ru	ru
elles	they
étaient	were
dans	in
désormais	now
savait	knew
papy	grandpa
l’alter	the alter
ego	ego
du	the
car	because
ils	they
ressemblaient	looked like
s’en	in
assurer	ensure
tiroir	drawer
meuble	furniture
cocotte	casserole
été	been
déposée	filed
bon	good
murmura-t-elle	she whispered
ce	this
n’est	there is
grave	serious
tout	all
cela	this
s’habilla	dressed
souriant	smiling
rêve	dream
lui	him
revenait	back
doucement	gently
avec	with
tous	all
arrivée	arrival
champ	field
magique	magic
puis	then
nuit	night
froide	cold
cet	this
arbre	tree
hébergeait	hosting
village	village
vermeilleux	vermeilleux
gnomes	gnomes
lutin	pixie
enfants	children
souvenait	remember
comme	as
si	if
l’avait	had
vraiment	really
vécu	lived
viens	just
émit-elle	made-it
descend	down
marie	mary
descendit	went down
pouvait	could
marches	steps
l’escalier	the stairs
décidément	decidedly
marchait	walked
mieux	better
monde	world
l’arbre	the tree
recouvert	covered
guirlandes	garlands
boules	balls
d’étoiles	star
petits	small
personnages	characters
magiques	magic
crèche	nursery
mettait	put
au	the
petit	small
jésus	jesus
mais	but
aucun	no
cadeau	gift
médor	sweety
quitta	left
cuisine	kitchen
dérapant	slip
poussa	pushed
porte	door
sa	its
queue	tail
battait	beat
m	m
-	-
154	154
sens	meaning
langue	language
pendante	pending
baveuse	slobbering
démontrait	demonstrated
joie	joy
qu’il	it
ressentait	felt
revoir	review
surtout	especially
après	after
avoir	have
mangé	ate
cro-	cro-
quettes	quettes
bœuf	beef
allait	would
lécher	lick
redoutait	feared
cette	this
tendresse	tenderness
cependant	however
laissa	let
faire	do
oui	yes
je	I
t’ai	you've
manqué	missed
n’est-ce	is this
débarqua	landed
salon	living room
torse	torso
nu	naked
brosse	brush
dents	teeth
entre	between
lèvres	lips
es	es
ne	do
entendu	heard
venir	come
a	has
ma	my
puce	chip
sais	know
s’est	is
passé	past
ont	have
pourtant	yet
mentait	lied
puisque	since
achetés	purchased
