chapitre	chapter
iii	iii
–	-
le	the
monde	world
de	of
saint-nicolas	saint-nicolas
e	e
tronc	trunk
principal	main
l’arbre	the tree
s’achevait	ended
en	in
haut	top
l’escalier	the stairs
par	by
un	a
palier	bearing
et	and
une	a
impasse	impasse
se	is
dé-	de-
ployait	ployait
ensuite	then
sur	on
succession	estate
grosses	large
branches	branches
lesquelles	which
servaient	served
support	support
à	to
la	the
plateforme	platform
extérieure	outdoor
ils	they
aper-	rea-
çurent	çurent
alors	then
grand	great
lièvre	hare
noir	black
accroché	hung
levier	lever
qui	that
somnolait	was dozing
auprès	with
d’un	a
livre	book
ouvert	open
derrière	behind
trouvait	was
porte	door
au	the
sommet	summit
il	it
y	there
avait	had
écriteau	sign
lequel	which
était	was
inscrit	registered
lettres	letters
gothiques	gothic
village	village
marie	mary
au-delà	beyond
ce	this
passage	passage
trouve	find
du	the
maire	mayor
dit	said
lu-	lu-
tin	tin
voilà	this is
est	is
bien	well
étonnant	amazing
je	I
lis	read
autre	other
chose	thing
l’écriteau	the sign
s’exclama	exclaimed
lutin	pixie
observa	watched
demanda	asked
s’il	if it
s’agissait	was
d’une	a
dyslexie	dyslexia
ou	or
prémonition	premonition
fronça	frowned
les	the
sourcils	eyebrows
mais	but
ne	do
rien	nothing
l’existence	the existence
cet	this
remontait	back
plusieurs	several
siècles	centuries
Étrange	Strange
oui	yes
répéta	repeated
séverin	séverin
n’avait	had
jamais	never
fait	fact
attention	attention
détail	detail
étage	floor
roi	king
inverse	reverse
Ça	It
veut	wants to
pas	not
dire	say
grand-chose	much
que	that
tu	you
nous	we
racontes	talking about
inverse…	reverse...
pourquoi	why
parles-tu	are you talking about
si	if
peux	can
te	te
faire	do
comprendre	understand
adopta	adopted
expression	expression
d’indifférence	indifference
pardonne-lui	forgive him
implora	begged
son	its
frère	brother
jumeau	twin
lapon	lapp
ridé	corrugated
lapin	rabbit
doré	golden
lord	lord
païen	pagan
cria	cried
cette	this
fois	time
aperçurent	saw
effet	effect
horrible	horrible
aux	the
yeux	eyes
bridés	slanted
personnage	character
tenait	held
entre	between
ses	its
bras	arm
joli	nice
petit	small
pelage	coat
jaune	yellow
distinguait	distinguished
aucun	no
l’horizon	the horizon
qu’est-ce	what is this
qu’un	a
c’est	it is
aristocrate	aristocrat
croît	grows
véritablement	truly
père	father
noël	christmas
s’agit	is
allié	ally
gnome	gnome
arlequin	harlequin
l’argent	the money
laponie	lapland
finlandaise	Finnish
sa	its
vraie	true
demeure	remains
situe	located
niveau	level
pôle	pole
nord	north
alaska	alaska
d’amérique	of america
l’occurrence	the occurrence
parlons	let's talk about
gnome-ci	gnome-
quant	as
lui	him
ouvre	opens
des	of
l	the
-	-
28	28
portes	doors
magiques	magic
passages	passages
secrets	secrets
donneraient	would
mystérieux	mysterious
univers	universe
l’arlequin	the harlequin
âne	ass
bâté	bâté
venu	come
négocier	negotiate
distribution	distribution
nos	our
propres	own
jouets	toys
moyennant	for
l’or	gold
ignore-t-il	ignoring
avons	have
reconstitué	reconstituted
équipe	team
ren-	ren-
nes	nes
ultracompétitive	ultracompétitive
plan	plan
déchiffra	deciphered
toujours	always
aussi	also
mysté-	mysté-
rieux	rieux
existe	there is
personnes	people
croient	believe
s’étonna	was surprised
certains	some
individus	individuals
malfaisants	evil
exploitent	exploit
magie	magic
pour	for
servir	serve
leurs	their
intérêts	interests
vas	vas
rencontrer	meet
t’expliquera	explain
tout	all
convient	should be
dans	in
miaouuu	miaouuu
lança	launched
minou	kitty
direction	management
entre-	between-
prit	took
déguerpir	skedaddle
comme	as
simple	simple
voleur	thief
chaton	kitten
projeta	projected
patte	paw
avant	before
voulait	wanted
griffer	scratch
soit	either
sage	wise
cependant	however
cocotte	casserole
tenta	tried
elle	it
picorer	peck
chaussettes	socks
dédaigneux	dismissive
dévala	ran down
quelques	a few
marches	steps
