chapitre	chapter
27	27
la	the
tour	tour
frappée	hit
par	by
foudre	lightning
une	a
fois	time
sous	under
le	the
ciel	sky
étoilé	starry
harry	harry
transporta	transported
dumbledore	dumbledore
jusqu'au	until the
rocher	rock
plus	more
proche	close
et	and
mit	mit
sur	on
ses	its
pieds	feet
détrempé	soggy
tremblant	tremblant
pesant	weighing
toujours	always
lui	him
se	is
concentra	concentra
durement	hard
qu'il	it
ne	do
l'avait	had
jamais	never
fait	fact
sa	its
destination	destination
pré-au-lard	pre-to-bacon
fermant	closing
les	the
yeux	eyes
tenant	taking into
bras	arm
de	of
aussi	also
étroitement	closely
pouvait	could
il	it
fut	was
précipiter	rush
dans	in
cette	this
horrible	horrible
sensation	sensation
compression	compression
savait	knew
que	that
cela	this
avait	had
fonctionné	worked
avant	before
ait	has
ouvert	open
l'odeur	the smell
du	the
sel	salt
brise	breeze
mer	sea
avaient	had
disparu	gone
étaient	were
tremblants	trembling
dégoulinant	dripping
au	the
milieu	middle
grand-rue	grand-rue
obscure	dark
pendant	during
un	a
affreux	awful
moment	time
l'imagination	the imagination
montra	showed
plein	full
d'inferi	of inferi
rampant	creepy
vers	to
tout	all
côtés	sides
des	of
magasins	stores
mais	but
cligna	blink
a	has
vit	lives
rien	nothing
remuait	stir-fried
était	was
normal	normal
l'obscurité	the dark
complète	complete
avec	with
l'éclairage	the lighting
lampadaires	streetlights
quelques	a few
fenêtres	windows
'nous	'we
l'avons	have
professeur	professor
'	'
chuchota	whispered
difficulté	difficulty
rendit	made
soudainement	suddenly
compte	account
y	there
point	point
chaud	hot
poitrine	chest
nous	we
avons	have
obtenu	obtained
horcrux	horcrux
chancela	reeled
contre	against
pensa	thought
son	its
sort	fate
d'apparition	appearance
inexpert	unexpect
déséquilibré	unbalanced
alors	then
visage	face
pâle	pale
affaibli	weakened
lumière	light
éloignée	remote
d'un	a
lampadaire	floor lamp
'professeur	'professor
ça	it
va	will
bien	well
"j'ai	"I
été	been
mieux…"	better..."
dit	said
faiblement	low
coin	corner
bouche	mouth
soit	either
relevé	statement
ce	this
breuvage	beverage
magique…	magic...
n'était	there was
pas	not
boisson	drink
santé…	health...
"	"
devant	before
