chapitre	chapter
11	11
coup	blow
de	of
main	hand
d'hermione	of hermione
comme	as
l'avait	had
prédit	predicted
les	the
périodes	periods
temps	time
libre	free
des	of
6	6
e	e
années	years
n'étaient	there were
pas	not
plaisantes	pleasant
heures	hours
détente	relaxation
qu'avait	that was
envisagé	considered
ron	ron
mais	but
moments	moments
pendants	pending
lesquels	which
ils	they
essayaient	tried
d'apprendre	to learn
la	the
vaste	wide
quantité	quantity
travail	work
qu'il	it
leur	their
était	was
donné	given
non	not
seulement	only
étudiaient	studying
s'ils	if they
avaient	had
eu	had
examens	reviews
chaque	each
jour	day
leçons	lessons
elles-mêmes	themselves
étaient	were
devenues	become
plus	more
difficiles	difficult
qu'avant	as before
harry	harry
avait	had
à	to
peine	penalty
compris	including
moitié	half
ce	this
que	that
le	the
professeur	professor
mcgonagall	mcgonagall
disait	said
derniers	last
jours	days
même	even
hermione	hermione
dû	due
lui	him
demander	ask
répéter	repeat
instructions	instructions
une	a
fois	time
ou	or
deux	two
incroyablement	incredibly
et	and
au	the
ressentiment	resentment
croissant	growing
matière	material
préférée	favorite
d'harry	harry
soudain	suddenly
devenu	now
cours	during
potions	potions
magiques	magic
grâce	thanks
prince	prince
sang	blood
mélé	... 
sorts	spells
verbaux	verbal
maintenant	now
prévus	provided
pendant	during
défense	defence
contre	against
forces	forces
du	the
mal	evil
également	also
sortilèges	spells
métamorphose	metamorphosis
fréquemment	frequently
regardait	watched
plusieurs	several
ses	its
camarades	comrades
classe	class
dans	in
salle	room
commune	common
aux	the
repas	meal
pour	for
regarder	watch
si	if
visage	face
rougissaient	blushed
tendus	tense
sous	under
l'effet	the effect
d'une	a
overdose	overdose
u-no-poo(sort	u-no-poo(spell
verbaux)	records)
il	it
ne	do
savait	knew
quand	when
vraiment	really
faire	do
charmes	charms
sans	without
dire	say
incantations	incantations
haute	high
voix	voice
c'était	it was
un	a
soulagement	relief
d'aller	go
dehors	outside
serres	greenhouses
chaudes	hot
travaillaient	worked
avec	with
plantes	plants
bien	well
dangereuses	dangerous
jamais	never
en	in
herbologie	herbal medicine
moins	less
encore	yet
permis	permit
jurer	swear
fort	fort
venomous	venomous
tentacula	tentacula
saisissait	got it
inopinément	unexpectedly
par	by
derrière	behind
conséquence	result
énorme	huge
charge	load
effrénées	hot
consacrées	devoted
pratique	practice
non-verbales	non-verbal
n'avait	had
jusqu'ici	up here
pu	could
trouver	find
rendre	make
visite	visit
hagrid	hagrid
venait	came
table	table
professeurs	teachers
mauvais	bad
signe	sign
quelques	a few
occasions	opportunities
où	where
l'avaient	had
vu	seen
passé	past
couloirs	corridors
raisons	reasons
mystérieusement	mysteriously
négliger	neglect
remarquer	notice
n'entendait	did
leurs	their
salutations	greetings
"nous	"we
devons	must
y	there
aller	go
nous	we
expliquer	explain
"	"
dit	said
regardant	looking at
vers	to
chaise	chair
vide	empty
samedi	Saturday
suivant	following
petit	small
déjeuner	breakfast
avons	have
sélections	selections
quidditch	quidditch
matin	morning
répliqua	replied
sommes	are
censés	supposed to
pratiquer	practice
sort	fate
aguamenti	aguamenti
flitwick	flitwick
quoi	what
soit	either
qui	that
a-t-il	there
comment	how
allons	will
détesté	hated
sa	its
stupide	stupid
l'avons	have
"parle	"speak
toi	you
je	I
n'ai	haven
oublié	forgot
scrouts	scrouts
pétard	firecracker
sombrement	darkly
te	te
dis	say
réchappé	escaped
tu	you
l'as	the ace
entendu	heard
discourir	talk
sur	on
son	its
lourdaud	heavy
frère	brother
aurions	would
enseigné	taught
graup	graup
attacher	attach
lacets	lace-up
étions	were
resté	stayed
"je	"I
détesterai	détesterai
parler	talk
semblant	pretend
bouleversé	upset
"eh	"eh
après	after
rassura	reassured
aussi	also
ennuyé	bored
pensait	thought
serait	would be
mieux	better
vie	life
épreuves	tests
pourraient	could
prendre	take
toute	any
matinée	morning
nombre	number
personnes	people
tester	test
se	is
sentait	felt
légèrement	slightly
nerveux	nervous
cette	this
première	first
confrontation	confrontation
rôle	role
capitaine	captain
sais	know
pourquoi	why
l'équipe	the team
est	is
populaire	popular
"oh	"oh
viens	just
soudainement	suddenly
impatiente	looking forward
"ce	"this
n'est	there is
c'est	it is
n'as	did
été	been
intéressant	interesting
franchement	frankly
admiré	admired
tes	your
fans	fans
plaisantait	was joking
grand	great
morceau	song
hareng	herring
lança	launched
regard	look
dédain	disdain
avant	before
tourner	turn
nouveau	new
"maintenant	"now
tout	all
monde	world
sait	knows
vérité	truth
d'accord	agreement
sorcier	sorcerer
a	has
admis	admitted
avais	had
raison	reason
sujet	about
retour	return
voldemort	voldemort
s'est	is
avéré	proven
combattu	fought
dernières	last
as	as
échappé	escaped
t'appellent	call you
l'elu"	the chosen one"
bon	good
allez	go
peux	can
voir	see
fascines	weirs
gens	people
trouvait	was
hall	hall
très	very
chaud	hot
quoique	though
plafond	ceiling
semblait	seemed
toujours	always
froid	cold
pluvieux	rainy
es	es
par-dessus	above
persécution	persecution
ministère	department
passer	pass
instable	unstable
menteur	liar
marques	brands
dos	back
ta	your
démon	demon
faisait	was
écrire	write
ton	your
propre	own
course	race
quoiqu'il	even though it
ces	these
cerveaux	brains
ont	have
mis	put
moi	me
regarde	look at
retroussant	rolling up
manches	short
"et	"and
choquant	shocking
constater	see
grandi	grew up
d'environ	about
pied	foot
depuis	since
l'été	the summer
dernier	last
termina	finished
ignorant	ignoring
suis	am
inconséquent	inconsistent
hiboux	owls
postaux	postal
arrivèrent	arrived
plongeant	plunging
bas	the bottom
fenêtres	windows
ruisselantes	rushing
pluie	rain
éclaboussant	splashing
chacun	each
gouttelettes	droplets
d'eau	water
plupart	most
élèves	students
recevaient	received
lettre	letter
d'habitude	usually
parents	parents
inquiets	worried
souhaitaient	wanted
vivement	strongly
avoir	have
nouvelles	new
enfants	children
rassurer	reassure
signaler	report
maison	home
reçu	received
aucun	no
courrier	mail
début	beginning
l'année	the year
seul	only
correspondant	corresponding
régulier	regular
mort	death
ait	has
espéré	hoped
lupin	lupin
pourrait	could
déçu	disappointed
jusqu'alors	until then
fut	was
donc	so
étonné	surprised
hedwige	hedwig
blanche	white
neige	snow
circuler	circulate
parmi	among
tous	all
bruns	brown
gris	grey
elle	it
débarqua	landed
devant	before
paquet	package
carré	square
peu	little
tard	later
identique	the same
écrasant	crushing
coquecigrue	coquecigrue
minuscule	tiny
hibou	owl
épuisé	exhausted
"ha	"ha
déballant	unpacking
partie	part
découvrir	discover
manuel	manual
"fabrication	"manufacturing
avancée	advanced
neuf	nine
chez	in
flourish	flourish
blotts	blotts
ravie	happy
l'exemplaire	the copy
plein	full
graffitis"	graffiti"
folle	crazy
garde	guard
n'y	there
pense	think
tira	drew
vieux	old
potions"	potions"
hors	out
sac	bag
tapa	tapa
couverture	coverage
baguette	wand
murmurant	muttering
"dijjindo	"dijjindo
tomba	fell
fit	fit
chose	thing
(hermione	(hermione
scandalisée)	outraged)
permuta	permuta
alors	then
couvertures	blankets
chacune	each
d'elle	it
"reparo	"reparo
virent	saw
déguisé	disguised
livre	book
ressembler	look like
complètement	completely
seconde	second
rendrai	make
slughorn	slughorn
peut	can
plaindre	complain
coûte	costs
gallions	galleons
lèvres	lips
l'une	one
