chapitre	chapter
14	14
felix	felix
felicis	felicis
le	the
matin	morning
suivant	following
harry	harry
commençait	started
par	by
l'herbologie	herbal medicine
il	it
n'avait	had
pas	not
pu	could
parler	talk
à	to
ron	ron
et	and
hermione	hermione
de	of
sa	its
leçon	lesson
avec	with
dumbledore	dumbledore
avant	before
la	the
fin	end
du	the
petit	small
déjeuner	breakfast
crainte	fear
d'être	to be
entendu	heard
mais	but
leur	their
dit	said
tout	all
pendant	during
qu'ils	they
traversaient	crossed
salle	room
des	of
végétaux	plant
en	in
allant	from
vers	to
les	the
serres	greenhouses
chaudes	hot
vent	wind
violent	violent
week-end	weekend
s'était	had
enfin	finally
arrêté	stopped
brume	mist
étranges	strange
ondoyaient	ondoyaient
fallut	took
un	a
peu	little
plus	more
temps	time
que	that
d'habitude	usually
pour	for
trouver	find
serre	greenhouse
chaude	hot
"wouah	"wow
quelle	what
pensée	thought
effrayante	scary
tu-sais-qui	you-know-who
enfant	child
"	"
tranquillement	quietly
alors	then
prenaient	took
place	place
autour	around
d'un	a
tronçons	sections
noueux	knotty
snargaluff	snargaluff
qui	that
représentaient	accounted for
nouveau	new
projet	project
d'étude	study
commencèrent	started
enfiler	thread
leurs	their
gants	gloves
protecteurs	protectors
"je	"I
ne	do
comprends	understand
toujours	always
pourquoi	why
veut	wants to
te	te
faire	do
voir	see
ça	it
je	I
veux	want to
bien	well
ce	this
soit	either
intéressant	interesting
quel	what
point	point
sais	know
répondit	replied
enfilant	threading
bouclier	shield
plastique	plastic
a	has
cela	this
était	was
important	important
m'aiderait	help me
survivre	survive
pense	think
c'est	it is
fascinant	fascinating
s'emballa	if packed
sincèrement	sincerely
"il	"it
est	is
absolument	absolutely
raisonnable	reasonable
savoir	know
choses	things
possibles	possible
sur	on
voldemort	voldemort
comment	how
pourrais-tu	could you
autrement	otherwise
découvrir	discover
ses	its
faiblesses	weaknesses
"alors	"then
s'est	is
déroulée	place
dernière	last
partie	part
slughorn	slughorn
lui	him
demanda	asked
derrière	behind
"oh	"oh
c'était	it was
fait	fact
amusement	fun
vraiment	really
répliqua	replied
mettant	putting
lunettes	glasses
protectrices	protective
dire	say
qu'il	it
tarit	dry
d'éloges	praise
exploits	exploits
nombreuses	many
personnalités	personalities
fou	crazy
mclaggen	mclaggen
si	if
bonnes	good
relations	relations
nous	we
avons	have
mangé	ate
présentés	presented
gwenog	gwenog
jones	jones
"gwenog	"gwenog
yeux	eyes
s'élargissant	extending
"le	"
capitaine	captain
harpies	harpies
holyhead	holyhead
"c'est	"it is
exact	exact
"personnellement	"personally
j'ai	I
pensé	thought
imbu	imbu
lui-même	himself
mais…"	but..."
assez	enough
tous	all
ces	these
bavardages	chatter
vivement	strongly
