chapitre	chapter
4	4
horace	horace
slughorn	slughorn
malgré	despite
le	the
fait	fact
qu'il	it
avait	had
passé	past
chaque	each
moment	time
de	of
veille	eve
ces	these
derniers	last
jours	days
à	to
espérer	hope
vainement	in vain
la	the
venue	coming
dumbledore	dumbledore
harry	harry
s'était	had
senti	felt
plutôt	rather
mal	evil
l'aise	comfortable
partir	from
avec	with
lui	him
privet	privet
drive	drive
il	it
n'avait	had
jamais	never
eu	had
conversation	conversation
directeur	director
en	in
dehors	outside
poudlard	hogwarts
y	there
généralement	generally
un	a
bureau	office
entre	between
eux	them
souvenir	remember
leur	their
dernier	last
face	in the face of
augmentait	increased
l'embarras	the embarrassment
d'harry	harry
crié	shouted
beaucoup	a lot
cette	this
occasion	opportunity
sans	without
parler	talk
des	of
très	very
estimables	worthy
possessions	possessions
cassées	broken
cependant	however
semblait	seemed
complètement	completely
détendu	relaxed
"garde	"guard
ta	your
baguette	wand
magique	magic
prête	ready
"	"
dit-il	he said
soudain	suddenly
"mais	"but
je	I
croyais	thought
que	that
n'avais	had
pas	not
droit	right
faire	do
magie	magic
l'école	the school
professeur	professor
"s'il	"if it
a	has
une	a
attaque	attack
te	te
donne	gives
permission	permission
d'utiliser	use
quelques	a few
sorts	spells
défense	defence
ou	or
malédiction	curse
ne	do
pense	think
tu	you
aies	have
besoin	need
soucier	worry about
d'une	a
ce	this
soir	evening
"pourquoi	"why
"tu	"you
es	es
moi	me
répondit	replied
simplement	simply
Ça	It
devrait	should
suffire	suffice
s'arrêta	stopped
brusquement	suddenly
l'extrémité	the end
n'as	did
encore	yet
tes	your
tests	tests
transplanage	transplanage
demanda-t-il	he asked
"non	"not
dit	said
"je	"I
fallait	had to
avoir	have
dix-sept	seventeen
ans	years
"c'est	"it is
cas	case
effet"	effect"
acquiesça	nodded
devras	will have to
donc	so
me	me
tenir	take
bien	well
fermement	firmly
À	To
ma	my
gauche	left
si	if
ça	it
gêne	discomfort
comme	as
sais	know
mon	my
côté	side
est	is
peu	little
fragile	fragile
l'heure	the time
actuelle	current
prit	took
bras	arm
offrait	offered
"très	"very
"bien	"well
allons-y	let's go
sentit	felt
s'éloigner	away
et	and
s'agrippa	if agrippa
plus	more
fort	fort
ressentit	felt
ensuite	then
c'est	it is
impression	print
noir	black
total	total
était	was
compressé	compressed
fortement	strongly
partout	everywhere
pouvait	could
respirer	breathe
l'impression	printing
bandes	bands
fer	iron
étaient	were
enroulées	wound
autour	around
sa	its
poitrine	chest
ses	its
yeux	eyes
semblaient	seemed to
repoussés	repelled
l'intérieur	inside
tête	head
tympans	eardrums
profondément	deeply
