chapitre	chapter
26	26
–	-
vu	seen
et	and
imprévu	unexpected
luna	luna
dit	said
vaguement	vaguely
qu’elle	it
ne	do
savait	knew
pas	not
quand	when
rita	rita
publierait	publish
l’interview	the interview
d’harry	harry
dans	in
le	the
chicaneur	cavil
que	that
son	its
père	father
attendait	waiting
avec	with
impatience	impatience
un	a
article	article
sur	on
les	the
récents	recent
snorkacks	snorkacks
plissés	pleated
cornés	horny
-	-
bien	well
sûr	course
c’est	it is
une	a
histoire	history
de	of
la	the
plus	more
haute	high
importance	importance
qui	that
doit	must
passer	pass
avant	before
harry	harry
n’avait	had
trouvé	found
parler	talk
nuit	night
du	the
retour	return
voldemort	voldemort
avait	had
été	been
expérience	experience
facile	easy
l’avait	had
obligé	forced
à	to
se	is
remémorer	remember
chaque	each
détail	detail
il	it
lui	him
tout	all
ce	this
dont	which
pouvait	could
souvenir	remember
sachant	knowing
c’était	it was
sa	its
seule	only
chance	chance
pouvoir	power
dire	say
vérité	truth
au	the
monde	world
entier	integer
demandait	asked
comment	how
gens	people
allaient	would
réagir	react
après	after
avoir	have
lu	read
doutait	doubted
beaucoup	a lot
prendraient	would
pour	for
fou	crazy
fait	fact
l’article	article
paraîtrait	would
côté	side
des	of
n’arrangerait	there would
choses	things
mais	but
l'évasion	the escape
bellatrix	bellatrix
lestrange	lestrange
ses	its
camarades	comrades
mangemorts	mangemorts
donné	given
désir	desire
brûlant	burning
faire	do
quelque	some
chose	thing
même	even
si	if
ça	it
menait	led
rien…	nothing...
je	I
me	me
demande	request
va	will
umbridge	umbridge
en	in
te	te
voyant	light
rendre	make
public	public
dean	dean
voix	voice
teinté	tinted
terreur	terror
dîner	dinner
lundi	Monday
soir	evening
seamus	seamus
avalait	swallows
d’énormes	huge
quantités	quantities
poulet	chicken
tarte	pie
jambon	ham
gardait	kept
savaient	knew
qu'il	it
écoutait	listened to
neville	neville
était	was
assis	sitting
face	in the face of
plutôt	rather
pâle	pale
continua	continued
basse	low
cela	this
a	has
dû	due
être…	be...
dur…	hard...
raconter…	tell...
ouais	yeah
marmonna	muttered
doivent	must
savoir	know
voldemorts	voldemorts
est	is
capable	able
n'est-ce	is this
inclinant	tilting
tête	head
aussi…	also...
être	be
mis	put
courant…	current...
laissa	let
phrase	sentence
suspens	outstanding
retourna	returned
pomme	apple
terre	earth
grillée	grilled
leva	rose
croisa	crossed
regard	look
tourna	turned
vivement	strongly
vers	to
assiette	plate
moment	time
partirent	departed
salle	room
commune	common
laissant	leaving
hermione	hermione
attendre	wait
ron	ron
table	table
n'avait	had
encore	yet
pût	could
cause	cause
l’entraînement	training
quidditch	quidditch
cho	cho
chang	chang
arriva	came to pass
hall	hall
ami	friend
marietta	marietta
l'estomac	the stomach
d'harry	harry
contracta	contracted
elle	it
vint	came
jusqu’à	up to
gryffondor	gryffindor
s'assit	sat
tournant	turning
dos	back
oh	oh
j'ai	I
oublié	forgot
demander	ask
jetant	throwing
coup	blow
d'œil	eye
serdaigle	ravenclaw
qu'est-ce	what is this
s’est	is
passé	past
fait-il	it
vous	you
soyez	be
rentré	back
tôt	early
euh	uh
…	...
c'était	it was
tirant	pulling
plat	flat
rhubarbe	rhubarb
soupirant	sighing
véritable	true
fiasco	fiasco
maintenant	now
tu	you
parles	talk
arrivé	arrived
pâtisserie-salon	pastry lounge
thé	tea
madame	mrs.
puddifoot	puddifoot
ensuite	then
termina-t-il	termina-t-he
quelques	a few
minutes	minutes
tard	later
alors	then
toute	any
disparue	missing
bondit	leaps
siège	seat
on	it
verra	see
partie	part
courant	current
posa	posa
cuillère	spoon
regarda	looked at
veux	want to
dire…	say...
comprends	understand
pas…	not...
jeta	threw
soupira	sighed
dit-elle	she said
tristement	sadly
suis	am
désolé	sorry
as	as
manqué	missed
tact	tact
intrigué	intrigued
l’instant	the moment
d’avant	before
allait	would
raconte	tells
roger	roger
davies	davies
demandé	asked
l’habitude	the usual
venir	come
cédric	cedric
s’embrasser	kissing
stupide	stupid
salon	living room
j’étais	I was
supposé	assumed
ecoute	listen
l'air	the air
patient	patient
quelqu'un	someone
explique	explains
pourquoi	why
font	do
deux	two
enfant	child
trop	too
émotif	emotional
n’aurais	would have
devais	had to
voir	see
plein	full
milieu	middle
votre	your
rendez-vous	appointment
bredouilla	gabble
m’avais	I had
midi	midi
l'amener	bring
voulais-tu	did you want to
fasse	do
sans	without
mettre	put
aurais	would have
différemment	differently
toujours	always
exaspérant	infuriating
air	air
vraiment	really
ennuyeux	boring
t’avais	you had
promettre	promise
aux	the
trois	three
balais	brushes
voulu	wanted
y	there
aller	go
journée	day
malheureusement	unfortunately
étais	was
supplier	supplier
toi	you
bon	good
espoir	hope
t’en	you
serais	would be
mieux	better
sortis	out
aurait	would
pû	could
bonne	good
idée	idea
mentionner	mention
trouves	find
affreusement	damn
laide	ugly
ajouta	added
trouve	find
ahuri	bemused
rit	laughs
es	es
bête	beast
ron…	ron...
quoique	though
non	not
l’es	the es
soupira-t-elle	sighed-she
débarquait	she landed
boue	mud
manifestement	clearly
mauvaise	bad
humeur	mood
comprend	includes
énervé	pissed off
donc	so
essayé	tried
jaloux	jealous
moyen	average
découvrir	discover
combien	how
l'aimais	the loved
essayait	tried
tandis	while
s’asseyait	sat
banc	bench
d'eux	of them
qu’il	it
tirait	drew
tous	all
plats	dishes
n’aurait	would
directement	directly
venue	coming
préférait	preferred
filles	girls
s’y	there
prennent	take
cette	this
façon	how
ferait	would
d’une	a
forte	strong
j’aurais	I would have
juste	just
eu	had
l’aimais	the loved
épargné	spared
mort	death
dis	say
très	very
intelligent	smart
ginny	ginny
rejoignais	rejoignais
aussi	also
boueuse	muddy
d’aussi	as
j'essaye	I try
comprendre	understand
réagit	reacts
devrais	should
écrire	write
livre	book
découpant	cutting
pommes	apples
explication	explanation
folles	crazy
comprennent	include
garçons	boys
