chapitre	chapter
28	28
les	the
pires	the worst
souvenirs	memories
de	of
rogue	rogue
par	by
ordre	order
du	the
ministÈre	department
la	the
magie	magic
dolorès	dolores
jane	jane
umbridge	umbridge
(haute	(high
inquisitrice)	inquisitor)
a	has
remplacé	replaced
albus	albus
dumbledore	dumbledore
à	to
tête	head
l'école	the school
et	and
sorcellerie	witchcraft
poudlard	hogwarts
décision	decision
ci-dessus	above
est	is
en	in
accord	agreement
avec	with
le	the
décret	decree
éducatif	educational
numéro	number
signé	signed
cornélius	cornelius
oswald	oswald
fudge	fudge
ministre	minister
notifications	notifications
s'étaient	had
répandues	common
dans	in
nuit	night
mais	but
elles	they
n'expliquaient	explained
pas	not
pourquoi	why
chaque	each
personne	person
château	castle
semblait	seemed
savoir	know
que	that
avait	had
triomphé	triumphed
2	2
aurors	aurors
grand	great
inquisiteur	inquisitor
son	its
jeune	young
assistant	wizard
pour	for
s'échapper	escape
où	where
harry	harry
aille	go
seul	only
sujet	about
conversation	conversation
était	was
l'évasion	the escape
bien	well
certains	some
détails	details
aient	have
été	been
déformés	distorted
répétition	repeat
l'histoire	the story
(	(
entendit	heard
une	a
année	year
assurer	ensure
nde	nde
maintenant	now
étendu	extended
st	st
mungo	mungo
citrouille	pumpkin
tête)	head)
il	it
surprenant	surprising
voir	see
combien	how
reste	rest
l'information	information
précis	specific
tout	all
monde	world
savait	knew
exemple	example
marietta	marietta
étaient	were
seuls	only
témoins	witnesses
élèves	students
avoir	have
vu	seen
scène	scene
bureau	office
comme	as
l'infirmerie	the infirmary
se	is
trouva	found
assiégé	besieged
demandes	applications
donner	give
un	a
récit	story
première	first
main	hand
'dumbledore	'dumbledore
reviendra	return
avant	before
peu'	little'
dit	said
hernie	hernia
macmillan	macmillan
confidentiellement	privately
revenant	returning
d'herbologie	of herbal medicine
après	after
écouté	listened to
attentivement	carefully
d'harry	harry
ils	they
n'ont	have
pu	could
l'éloigner	away
pendant	during
noter	note
seconde	second
ne	do
pourront	can
faire	do
cette	this
fois	time
non	not
plus	more
gros	wholesale
moine	monk
m'a	me
–'	-'
baissa	lowered
voix	voice
sur	on
ton	your
conspirateur	conspirator
ron	ron
hermione	hermione
qui	that
durent	last
rapprocher	closer
près	near
l'entendre–	the hear-
qu'umbridge	that umbridge
essayé	tried
revenir	return
dernière	last
qu'ils	they
l'ait	has
cherché	sought
terrains	land
elle	it
n'a	did
passer	pass
gargouille	gargoyle
directeur	director
s'est	is
fermé	closed
elle'	it'
ernie	ernie
fit	fit
petit	small
sourire	smile
'apparemment	'apparently
eu	had
bon	good
accès	access
colère	anger
'oh	'oh
je	I
pense	think
qu'elle	it
devait	should
s'imaginer	imagine
assise	sitting
directeur'	director'
cruellement	cruelly
marchaient	walked
jusqu'aux	up to
marches	steps
pierre	stone
hall	hall
l'entrée	the entry
'se	'
comporter	include
maître	master
tous	all
autres	other
professeurs	teachers
stupide	stupid
enflée	swollen
dingue	crazy
vieille	old
–	-
'tu	'you
veux	want to
vraiment	really
finir	finish
phrase	sentence
granger	granger
draco	draco
malefoy	malfoy
s'était	had
glissé	slipped
derrière	behind
porte	door
suivi	follow-up
crabbe	crabbe
goyle	goyle
visage	face
pâle	pale
sarcastique	sarcastic
illuminé	illuminated
méchanceté	wickedness
'j'ai	'I
peur	fear
devoir	duty
enlever	remove
5	5
points	points
gryffondor	gryffindor
poufsouffle	hufflepuff
dit-il	he said
d'une	a
traînante	shuffling
'ce	'this
sont	are
seulement	only
peuvent	can
des	of
malefoy'	malfoy'
immédiatement	immediately
'oui	'yes
nous	we
sommes	are
préfets	prefects
aussi	also
tu	you
te	te
souviens	remember
grogna	" 
sais	know
weasley	weasley
roi'	king'
railla	scoffed
ricanèrent	ricanèrent
'mais	'but
membres	members
l'équipe	the team
inquisitoriale	inquisitorial
'la	'the
quoi	what
'	'
brusquement	suddenly
'l'équipe	'the team
granger'	granger'
montrant	showing
minuscule	tiny
i	i
d'argent	money
dessous	below
badge	badge
préfet	prefect
groupe	group
sélectionné	selected
d'élèves	students
supportent	support
ministère	department
choisi	chosen
professeur	professor
cas	case
ont	have
pouvoir	power
d'enlever	to remove
points…	points...
alors	then
ce	this
sera	will be
malmené	manhandled
notre	our
nouvelle	new
directrice	director
m'avoir	I have
contredit	contradicts
car	because
t'aime	love you
potter	potter
tee	tee
shirt	shirt
débraillé	scruffy
donc	so
54	54
oh	oh
oui	yes
j'avais	I had
oublié	forgot
es	es
sang	blood
bourbe	mire
10	10
ça	it
tira	drew
sa	its
baguette	wand
magique	magic
poussa	pushed
au	the
loin	far
murmurant	muttering
'non'	'no'
'sage	'wise
mouvement	movement
souffla	blew
'nouvelle	'new
nouveaux	new
temps…	time...
soyez	be
sages	wise
potty	potty
roi…'	king...'
riant	laughing
cœur	heart
joie	joy
s'éloigna	walked away
bluffait	was bluffing
semblant	pretend
scandalisé	scandalized
peut	can
autorisé	authorized
serait	would be
ridicule…	ridiculous...
saperait	would undermine
complètement	completely
système	system
déjà	already
tourné	shot
automatiquement	automatically
vers	to
pendule	pendulum
géante	giant
placée	placed
alcôve	alcove
coté	side
mur	wall
eux	them
comptait	had
maisons	houses
serdaigle	ravenclaw
avaient	had
coude	elbow
matin	morning
même	even
regardaient	watched
pierres	stones
tournaient	turned
réduisant	reducing
nombre	number
fait	fact
seule	only
vitre	glass
inchangée	unchanged
l'émeraude	the emerald
remplie	filled
serpentards	serpentards
vous	you
avez	have
n'est	there is
fred	fred
lui	him
georges	georges
venaient	came
descendre	down
escaliers	stairs
marbre	marble
rejoints	joined
face	in the face of
vitres	windows
'malefoy	'malfoy
vient	comes
juste	just
50	50
points'	points'
furieusement	furiously
plusieurs	several
s'enlever	remove
gryffondors	gryffondors
'ouais	'yeah
montague	montague
enlever'	remove'
george	george
'que	'that
dire	say
"essayé"	"tried"
demanda	asked
rapidement	quickly
'il	'it
jamais	never
réussi	successful
prononcer	pronounce
mots'	words'
cause	cause
l'avons	have
entrer	enter
commode	convenient
disparition	disappearance
premier	first
étage'	floor'
sembla	seemed
très	very
choquée	shocked
allez	go
terribles	terrible
ennuis	trouble
réapparaisse	to reappear
prendre	take
semaines	weeks
envoyé'	sent'
calmement	calmly
'en	'
cas…	case...
avons	have
décidé	decided
moquions	ridiculed
d'avoir	to have
ennuis'	trouble'
'y	there
jour	day
attention	attention
'bien	'well
oui'	yes'
'jamais	'never
renvoyé	returned
'nous	'we
toujours	always
su	su
jusqu'où	up where
aller'	go'
être	be
franchi	crossed
ligne	line
d'un	a
orteil	toe
occasionnellement'	occasionally'
arrêtés	arrested
causer	cause
vrai	true
grabuge'	ruckus'
essaya	tried
–'dit	-'said
parti	party
pensons	think
qu'un	a
peu	little
grabuge	mayhem
exactement	exactly
mérite	merit
directrice'	director'
devez	must
murmura	whispered
'vous	'you
adorerait	would love to
raison	reason
expulser	expel
comprends	understand
souriant	smiling
moquons	don't care about
rester	stay
ici	here
présent	this
partirions	would leave
suite	suite
si	if
n'étions	there were
déterminés	determined
quelque	some
chose	thing
d'abord	first
toute	any
façon'	way'
vérifia	verified
montre	watch
phase	phase
point	point
débuter	start
j'irais	I would go
dîner	dinner
j'étais	I was
voient	see
n'avez	do
rien	nothing
'rien	'nothing
anxieusement	anxiously
verrez'	see'
george'	george'
allez-y	go for it
tournèrent	turned
disparurent	disappeared
foule	crowd
augmentait	increased
descendirent	went down
repas	meal
paraissant	appearing
hautement	highly
déconcerté	baffled
marmonna	muttered
propos	about
transfiguration	transfiguration
fini	finished
fila	fila
vitesse	speed
'je	'I
devrions	should
partir	from
d'ici	here
savez'	know'
nerveusement	nervously
ou'	or'
as	as
raison'	reason'
3	3
dirigèrent	headed
portes	doors
peine	penalty
aperçu	overview
ciel	sky
bleu	blue
ses	its
nuages	clouds
quand	when
quelqu'un	someone
tapa	tapa
l'épaule	the shoulder
tournant	turning
presque	almost
nez	nose
filch	filch
concierge	concierge
rapides	fast
arrière	rear
mieux	better
voudrait	would like to
potter'	potter'
regardant	looking at
biais	through
l'ai	I
fait'	'
stupidement	stupidly
pensant	thinking
soit	either
prévu	expected
mâchoires	jaws
vibrèrent	vibrèrent
rire	laugh
silencieux	silent
'conscience	'consciousness
nette	net
hein	eh
ronronna	purred
t'il	there
suivez	follow
moi'	me'
regarda	looked at
paraissaient	seemed
inquiets	worried
haussa	hausa
épaules	shoulders
rusard	rusard
d'entrée	input
contre	against
marée	tide
affamés	hungry
bonne	good
humeur	mood
fredonna	fredonna
grinçant	squeaky
montaient	rose
l'escalier	the stairs
atteignaient	reached
palier	bearing
choses	things
changent	change
j'ai	I
noté	noted
froidement	coldly
vois…	see...
années	years
qu'il	it
trop	too
doux	soft
méchamment	wickedly
bas	the bottom
sales	sales
petites	small
brutes	gross
n'auriez	would
lancé	launched
bombes	bombs
bouse	dung
aviez	had
fouetter	whisk
jusqu'au	until the
n'aurait	would
pensé	thought
lancer	launch
freesbee	freesbee
crocs	crocs
couloirs	corridors
suspendre	suspend
chevilles	ankles
mon	my
d'éducation	education
29	29
entrera	enter
vigueur	force
serais	would be
ça…	it...
demandé	asked
signer	sign
d'expulsion	expulsion
peeves…	peeves...
vont	go
différentes	different
charge	load
évidemment	of course
mis	put
pensa	thought
connaissance	knowledge
passages	passages
secrets	secrets
cachettes	hiding places
n'égalait	not equalled
celle	the
jumeaux	twins
arrivait	arrived
second	second
y	there
voila'	voila'
lançant	launching
œillade	œillade
frappait	hit
poussait	pushing
garçon	boy
vouliez	want to
ma'ame	ma soul
d'umbridge	of umbridge
familier	familiar
depuis	since
nombreuses	many
détentions	detentions
d'habitude	usually
excepté	except
large	wide
bloc	block
bois	wood
devant	before
lequel	which
lettres	letters
dorées	golden
épelé	spelled
mot	word
egalement	also
éclair	flash
feu	fire
comètes	comets
vit	lives
douleur	pain
enchaînés	chained
cadenassés	cadenassés
piquet	piquet
fer	iron
occupée	occupied
parchemins	scrolls
roses	roses
leva	rose
yeux	eyes
sourit	smiles
ouvertement	openly
entrée	entry
'merci	'thank you
argus'	argus'
gentiment	kindly
'de	'
tout'	all'
s'inclinant	bowing
rhumatisme	rheumatism
permettait	allowed
sortant	outgoing
chatons	kittens
dégoûtants	disgusting
gambadant	frolicking
assiettes	plates
au-	at-
dessus	top
demandant	asking
quelles	what
nouvelles	new
horreurs	horrors
réservées	reserved
maintenant'	now'
dit-elle	she said
finalement	finally
posant	posing
plume	pen
l'observant	the observing
sérénité	serenity
crapaud	toad
d'avaler	swallow
mouche	fly
particulièrement	particularly
juteuse	juicy
'qu'est	'that is
ferait	would
plaisir	fun
boire	drink
'quoi	'what
l'avait	had
mal	evil
entendue	heard
m	m
encore	yet
largement	widely
thé	tea
café	coffee
jus	juice
nommait	named
boisson	drink
donnait	gave
court	short
tasse	cup
verre	glass
apparaissait	appeared
merci'	thank you
'j'aimerais	'I'd like to
boives	drink
devenant	becoming
dangereusement	dangerously
douce	soft
'choisis'	'chosen'
'bien…	'well...
alors'	then'
haussant	raising
trafic	traffic
ajouter	add
lait	milk
dos	back
'voila'	'voila'
tendant	for
sinistrement	eerily
'buvez-le	'drink-the
refroidisse	cool
potter…	potter...
petite	small
pénibles	painful
événements	events
s'installa	settled
nouveau	new
fauteuil	chair
attendit	waited
moments	moments
silence	silence
furent	were
passés	past
gaiement	merrily
buvez	drink
porta	porta
lèvres	lips
soudainement	suddenly
l'abaissa	the lowered
répugnants	repugnant
chats	cats
peint	painted
grands	great
bleus	blue
l'œil	the eye
maugrey	maugrey
fol	fol
œil	eye
venait	came
souvenir	remember
aurait	would
s'il	if it
entendu	heard
qu'harry	harry
bu	bu
venant	from
ennemi	enemy
connu	known
'quel	'what
problème	problem
regardait	watched
attentivement'	carefully'
voulez	want to
sucre	sugar
feint	feint
d'en	to
avaler	swallow
gorgée	sip
gardant	keeping
bouche	mouth
étroitement	closely
fermée	closed
s'agrandit	expands
'bien'	'well -'
t'elle	she'll
'très	'very
maintenant…'	now...'
s'appuya	leaned
'où	'where
'aucune	'no
idée'	idea'
champ	field
'bois	'wood
bois'	wood'
jouons	play
ces	these
petits	small
jeux	games
savez	know
allé	gone
ensemble	all
début	beginning
considérant	considering
votre	your
situation	situation
est'	is'
répéta	repeated
bien'	well'
parue	published
contrariée	upset
'dans	'in
me	me
sirius	sirius
black	black
l'estomac	the stomach
retourna	returned
tenait	held
trembla	shook
cliqueta	cliqueta
soucoupe	saucer
inclina	bowed
pressées	pressed
l'une	one
l'autre	the other
afin	in order
liquide	liquid
chaud	hot
s'écoule	flows
robes	dresses
'm	'm
'laissez-moi	'let me
rappeler	remember
'est	'is
moi	me
ait	has
attrapé	caught
criminel	criminal
octobre	October
parfaitement	perfectly
c'était	it was
rencontrait	met
preuve	proof
aucun	no
d'eux	of them
libre	free
aujourd'hui	today
promets	promise
répète	repeat
aucune	no
fortement	strongly
'pas	'not
moindre	less
indice'	index'
regardèrent	looked
longuement	long
sentit	felt
mouiller	wet
crois	believe
parole	word
averti	warned
volonté	will
soutient	supports
moyens	means
communication	communication
dan	dan
s	s
hors	out
surveillés	monitored
régulateur	regulator
cheminées	chimneys
surveille	monitors
mien	mine
équipe	team
ouvre	opens
lit	bed
hiboux	owls
entrant	incoming
ou	or
observe	notes
trouve	find
preuve…	proof...
boum	boom
sol	soil
glissa	slipped
s'agrippant	clinging
soutenir	support
-	-
fixement	staring
saisit	captures
l'occasion	the opportunity
vider	empty
pleine	full
vase	vase
proche	close
fleurs	flowers
séchées	dried
pouvait	could
entendre	hear
gens	people
courir	run
hurler	scream
étages	floors
'retournez	'return
déjeuner	breakfast
cria	cried
levant	rising
s'élançant	rushing
donna	donna
quelques	a few
secondes	seconds
d'avance	advance
puis	then
pressa	pressed
quelle	what
source	source
vacarme	din
n'était	there was
dur	hard
trouver	find
étage	floor
confusion	confusion
régnait	reigned
(et	(and
idée	idea
précise	precise
qui)	that)
démarré	started
énorme	huge
caisse	fund
feux	lights
d'artifices	fireworks
enchantés	enchanted
dragons	dragons
d'étincelles	sparks
vert	green
or	gold
planaient	hovering
haut	top
émettant	emitting
fortes	strong
explosions	explosions
enflammées	inflamed
bangs	bangs
passaient	passed
roues	wheels
dentelées	serrated
rose	pink
choquant	shocking
1	1
5m	5m
diamètre	diameter
sifflaient	zing
mortellement	fatally
travers	through
airs	air
autant	as much
soucoupes	saucers
volantes	flying
fusées	rockets
longues	long
queues	tails
brillante	brilliant
argent	money
ricochaient	ricochaient
murs	walls
cierges	candles
magiques	magic
écrivaient	wrote
jurons	swearing
l'air	the air
d'eux-	of them-
mêmes	same
pétards	firecrackers
explosaient	exploded
mines	mines
regarde	look at
place	place
d'éclater	burst
s'évanouir	vanish
vue	view
pétiller	sparkle
jusqu'à	up to
s'arrêter	stop
miracles	miracles
pyrotechniques	pyrotechnic
semblaient	seemed to
gagner	win
énergie	energy
élan	momentum
mesure	measurement
tenaient	held
apparemment	apparently
paralysé	paralyzed
d'horreur	horror
moitié	half
larges	large
catherine	catherine
décider	decide
besoin	need
manœuvrer	maneuver
tourbillonna	tourbillonna
sinistre	disaster
'wheeeeeeeeeee'	'wheeeeeeeeeee'
hurlèrent	screamed
deux	two
plongèrent	dove
s'élevait	was
droit	right
fenêtre	window
au-dessus	above
partait	left
temps	time
chauve	bald
souris	mouse
violette	violet
fumaient	smoked
façon	how
menaçante	threatening
saisirent	seized
ouverte	open
fond	background
couloir	hallway
nd	nd
'vite	'fast
vite	fast
hurla	screamed
'ils	'they
répandre	spread
moins	less
l'on	we
fasse	do
stupéfix	stupéfix
jet	jet
lumière	light
rouge	red
sortit	went out
bout	end
toucha	touched
lieu	place
geler	freeze
entre	between
terre	earth
explosa	exploded
telle	such
force	force
laissa	let
trou	hole
peinture	painting
représentant	representative
sorcière	witch
trempée	soaked
milieu	middle
pré	pre
sauva	saved
réapparaissant	reappearing
tard	later
écrasée	crushed
d'à	to
couple	couple
sorciers	wizards
jouaient	played
aux	the
cartes	cards
levèrent	rose
précipitamment	hurriedly
'ne	'do
étourdissez	stun
n'avait	had
incantation	casting
étant	being
crackmol	crackmol
stupéfixer	stupéfixer
d'artifice	fireworks
s'élança	darted
placard	closet
balais	brushes
voisin	neighbor
sorti	out
balai	broom
commença	started
frapper	hit
s'enflamma	burned
assez	enough
plia	folded
courut	ran
cachée	hidden
tapisserie	tapestry
dedans	in
caché	hidden
écoutant	listening to
cris	cree
tremblant	tremblant
contenue	contained
'impressionnant'	'awesome'
tranquillement	quietly
impressionnant…	impressive...
mettre	put
docteur	doctor
flibuste	flibuste
paille	straw
sans	without
problème…'	problem...'
'a	'
tienne'	yours'
essuyant	wiping
larmes	tears
figure	figure
j'espère	I hope
essaiera	will try
disparaître	disappear
prochaine	next
fois…	time...
multiplient	multiply
qu'on	we
essaie'	try'
continuèrent	continued
brûler	burn
midi	midi
causent	cause
énormément	a lot
d'interruptions	interruptions
prêter	pay
'mon	'my
dieu	god
dieu'	god'
macgonagall	macgonagall
sardoniquement	sardoniquement
l'un	one
planait	hung
autour	around
classe	class
crachant	spitting
flammes	flames
'miss	'miss
brown	brown
pourriez	could
l'informer	the inform
échappé	escaped
résulta	result
cela	this
fut	was
passa	spent
répondant	respondent
capables	capable
débarrasser	rid
cloche	bell
finale	final
retentit	sounds
tour	tour
leurs	their
sacs	bags
immense	huge
satisfaction	satisfaction
échevelée	dishevelled
noire	black
suie	soot
chancelant	tottering
sueur	sweat
sortir	out
flitwick	flitwick
beaucoup	a lot
grinçante	squeaky
'j'aurai	'I will
m'en	me
n'étais	there was
j'en	I
droit'	right'
ferma	closed
grincheuse	grumpy
héros	hero
là	there
chambre	room
commune	common
passage	passage
excitée	horny
féliciter	congratulate
'c'étaient	'it was
merveilleux	wonderful
d'artifices'	fireworks'
admirative	admiring
'merci'	'thank you,'
surpris	surprised
ravi	ravi
'les	'
follets	wisps
wizz	wizz
'weasley'	'weasley'
utilisé	used
stock	stock
allons	will
recommencer	again
zéro	zero
'ca	ca
valait	worth
coup	blow
cependant'	however,'
prenait	took
commandes	commands
vociférant	vociférant
nom	name
liste	list
d'attente	waiting
c'est	it is
gallions	galleons
boite	box
d'embrasement	ignition
basique	basic
20	20
déflagration	blast
deluxe…'	deluxe...'
table	table
assis	sitting
leur	their
sac	bag
s'ils	if they
espéraient	hoped
devoirs	duties
allaient	would
n'aurions	would
répit	respite
éclat	glow
fuse	fuse
queue	tail
bourdonnait	hooted
passant	from
fenêtre'	window'
vacances	holiday
pâques	easter
commencent	begin
vendredi	Friday
aurons	will
plein	full
sens	meaning
'demanda	'asked
incrédule	incredulous
'maintenant	'now
mentionnes'	mentioned'
heureuse	happy
…	...
peu…	little...
rebelle'	rebel'
toujour	always
distantes	remote
échappés	escaped
allèrent	went
heure	time
qu’il	it
déshabillait	stripped their victims
uncierge	uncierge
plana	plana
écrivant	writing
résolument	resolutely
‘aussi’	‘also’
alla	alla
baillant	yawning
lunettes	glasses
enlevées	removed
occasionnels	casual
brouillés	scrambled
ressemblant	like
pétillants	sparkling
beaux	beautiful
mystérieux	mysterious
noir	black
tourna	turned
demendant	demendant
comment	how
sentait	felt
sonpremier	ashis
poste	post
réagirait	would
apprendrait	would learn
l’école	the school
passée	past
laplupart	most
jounée	day
état	state
d’interruption	interrupt
avancé	advanced
meme	even
yeux…	eyes...
sifflements	whistling
distants	remote
courait	ran
d’eux…	of them...
tombé	fallen
menant	leading
département	department
smystères	smystères
dépêchai	dépêchai
simple	simple
noire…	black...
laissez	let
s’ouvrir…	open...
c’est	it is
qu’elle	it
l’intérieur	inside
d’une	a
pièce	room
circulaire	circular
portes…	doors...
traversa	crossed
plaça	plaça
mains	hands
identique	the same
pivota	swung
l’intérieur…	inside...
da	da
ns	ns
longue	long
rectangulaire	rectangular
cliquettements	cliquettements
mécaniques	mechanical
étranges	strange
tâches	tasks
dansant	dancing
s’arrêta	stopped
vérifier…il	check it...
continuer…	continue...
l’extrémité…	the end...
s’ouvrit	opened
contatc…	contatc...
