chapitre	chapter
27	27
le	the
centaure	centaur
et	and
l’espion	the spy
'	'
hermione	hermione
je	I
parierai	'll bet
que	that
tu	you
regrettes	regret
d’avoir	to have
arrêté	stopped
la	the
divination	divination
maintenant	now
demanda	asked
parvati	parvati
souriant	smiling
d'un	a
air	air
satisfait	satisfied
c'était	it was
petit	small
déjeuner	breakfast
deux	two
jours	days
après	after
renvoi	reference
du	the
professeur	professor
trelawney	trelawney
frisait	close to historic
ses	its
cils	eyelashes
autour	around
de	of
sa	its
baguette	wand
magique	magic
examinait	examined
l'effet	the effect
derrière	behind
cuillère	spoon
ils	they
devaient	had to
avoir	have
leur	their
première	first
leçon	lesson
avec	with
firenze	firenze
ce	this
matin	morning
non	not
vraiment	really
dit	said
indifféremment	either
qui	that
lisait	read
prophète	prophet
quotidien	daily
n'ai	haven
jamais	never
aimé	loved
les	the
chevaux	horses
elle	it
tourna	turned
une	a
page	page
journal	journal
parcouru	traveled
colonnes	columns
il	it
n'est	there is
pas	not
un	a
cheval	horse
est	is
lavande	lavender
semblant	pretend
choqué	shocked
magnifique	beautiful
soupira	sighed
l'un	one
ou	or
l'autre	the other
a	has
toujours	always
quatre	four
pieds	feet
fraîchement	freshly
toute	any
façon	how
j'ai	I
pensé	thought
vous	you
avez	have
été	been
vexés	upset
soit	either
parti	party
nous	we
sommes	are
assura	assura
montés	mounted
à	to
son	its
bureau	office
pour	for
voir	see
avons	have
pris	taken
quelques	a few
jonquilles	daffodils
comment	how
demandé	asked
harry	harry
très	very
bien	well
pauvre	poor
lavender	lavender
bienveillance	benevolence
criait	shouted
disait	said
qu’elle	it
préférerait	would prefer
quitter	leave
château	castle
rester	stay
où	where
umbridge	umbridge
ne	do
lui	him
reproche	reproach
était	was
horrible	horrible
n'est-ce	is this
sentiment	feeling
vient	comes
commencer	start
être	be
obscurément	darkly
'impossible'	'impossible'
ron	ron
mettait	put
dans	in
grand	great
plat	flat
des	of
oeufs	eggs
bacon	bacon
peut	can
devenir	become
peu	little
plus	more
mauvaise	bad
qu'elle	it
l’a	the
déjà	already
me	me
prend	takes
mes	my
mots	words
va	will
vouloir	want to
se	is
venger	revenge
sur	on
dumbledore	dumbledore
puisqu’il	since it
nommer	name
nouvel	new
enseignant	teacher
sans	without
consulter	consult
fermant	closing
particulièrement	particularly
autre	other
homme	man
partie	part
vu	seen
regard	look
visage	face
quand	when
classe	class
d’arithmancy	of arithmancy
pendant	during
qu’harry	harry
suivait	followed
l'entrée	the entry
hall	hall
dirigeant	officer
vers	to
montons	climb
tour	tour
nord	north
regardant	looking at
rendu	rendering
perplexe	puzzled
comme	as
contournait	skirting
l'escalier	the stairs
marbre	marble
l'a	the
regardé	watched
mépris	contempt
épaule	shoulder
t'attends	waiting for you
À	To
monte	monte
cette	this
échelle	scale
salle	room
onze	eleven
tableau	table
d’affichage	display
hier	yesterday
terrain	field
l’étage	the floor
long	long
couloir	hallway
menant	leading
au	the
vestibule	vestibule
côté	side
opposé	opposite
savait	knew
ces	these
salles	rooms
n'a	did
employées	used
régulièrement	regularly
avaient	had
donc	so
l’air	the air
légèrement	slightly
négligé	neglected
buffet	buffet
d’une	a
réserve	reserve
y	there
entré	entered
directement	directly
s'est	is
trouvé	found
milieu	middle
d'une	a
clairière	glade
forêt	forest
momentanément	momentarily
abasourdi	stunned
qu’est-ce	what is this
-	-
plancher	floor
devenu	now
moussu	mossy
arbres	trees
grandissaient	growing up
leurs	their
branches	branches
feuillues	hardwood
éventées	the stale
travers	through
plafond	ceiling
fenêtres	windows
pièce	room
pleine	full
y’avait	there was
puits	wells
inclinés	inclined
tachetées	spotted
étudiants	students
étaient	were
arrivés	arrived
assis	sitting
terreux	earthy
dos	back
contre	against
troncs	trunks
d'arbre	tree
rochers	rocks
bras	arm
enveloppés	wrapped
genoux	knees
plié	folded
fermement	firmly
poitrines	breasts
tout	all
plutôt	rather
nerveux	nervous
n'y	there
avait	had
aucun	no
arbre	tree
debout	standing
potter	potter
a-t-il	there
offrant	offering
main	hand
euh	uh
hé	hey
serrant	tightening
examiné	reviewed
ciller	ciller
par	by
ceux-là	those
yeux	eyes
incroyablement	incredibly
bleus	blue
–	-
suis	am
content	content
moi	me
aussi	also
inclinant	tilting
tête	head
blanche-blonde	white-blonde
prévu	expected
rencontrerions	to meet
nouveau	new
remarqua	noticed
qu'il	it
l'ombre	the shadow
contusion	contusion
en	in
forme	form
sabot	shoe
poitrine	chest
tourné	shot
rejoindre	join
reste	rest
tous	all
regardaient	watched
crainte	fear
apparemment	apparently
profondément	deeply
impressionné	impressed
eu	had
conversation	conversation
qu'ils	they
ont	have
semblé	seemed
trouver	find
intimidant	intimidating
porte	door
fut	was
fermée	closed
dernier	last
étudiant	student
s’assis	sat
souche	strain
panier	basket
papiers	papers
jeter	throw
fit	fit
geste	gesture
bonté	goodness
arrangé	arranged
chacun	each
d’eux	of them
s'était	had
installé	installed
l'imitation	the imitation
mon	my
habitat	habitat
naturel	natural
j'aurais	I would have
préféré	favorite
apprendre	learn
interdite	prohibited
jusqu'à	up to
lundi	Monday
domicile	home
mais	but
possible	possible
s'il	if it
plaît	please
monsieur	mr.
retenant	retaining
souffle	breath
levant	rising
pourquoi	why
n’est	there is
hagrid	hagrid
effrayés	scared
question	question
votre	your
courage	courage
ma	my
position	position
peux	can
retourner	return
troupeau	herd
m'a	me
banni	banned
voix	voice
embarrassée	embarrassed
pensait	thought
aux	the
vaches	cows
quel	what
oh	oh
compréhension	understanding
née	born
a-t-elle	she
élève	student
dean	dean
impatience	impatience
lentement	slowly
faire	do
face	in the face of
sembla	seemed
rendre	make
compte	account
immédiatement	immediately
quelque	some
chose	thing
offensant	offensive
fait	fact
voulu	wanted
dire	say
désolé	sorry
fini	finished
étouffée	choked
centaures	centaurs
sont	are
animaux	animals
domestiques	domestic
jouets	toys
gens	people
tranquillement	quietly
pause	break
alors	then
leva	rose
autres	other
ont-ils	have they
bannis	banned
parce	because
consenti	agreed
travailler	work
voient	see
trahison	betrayal
sorte	so
souvenu	remembered
presque	almost
ans	years
bane	bane
crié	shouted
