chapitre	chapter
onze	eleven
la	the
nouvelle	new
chanson	song
du	the
chapeau	hat
harry	harry
ne	do
voulut	wanted
pas	not
dire	say
aux	the
autres	other
que	that
lui	him
et	and
luna	luna
avaient	had
eu	had
même	even
hallucination	hallucination
si	if
ceci	this
en	in
était	was
une	a
ainsi	as well
il	it
dit	said
rien	nothing
à	to
propos	about
des	of
chevaux	horses
lorsqu'il	when it
s'assit	sat
dans	in
calèche	horse-drawn carriage
qu’il	it
ferma	closed
porte	door
derrière	behind
néanmoins	nevertheless
pouvait	could
observer	observe
les	the
silhouettes	silhouettes
qui	that
se	is
déplaçaient	moved
au	the
delà	beyond
de	of
fenêtre	window
fait	fact
devient	becomes
géante	giant
hagrid	hagrid
demanda	asked
ginny	ginny
peut	can
être	be
parti	party
je	I
serai	am
tout	all
heureuse	happy
suivit	followed
ce	this
n'est	there is
un	a
excellent	excellent
professeur	professor
non	not
c’en	it
est	is
ron	ron
colère	anger
lança	launched
regard	look
noir	black
hermione	hermione
elle	it
dégagea	freed
sa	its
gorge	throat
rapidement	quickly
heu	uh
oui	yes
bien	well
nous	we
serdaigle	ravenclaw
pensons	think
s'est	is
peu	little
plaisanterie	joke
imperturbable	unfazed
vous	you
avez	have
sens	meaning
l'humour	humor
très	very
mauvais	bad
goût	taste
alors	then
blessé	injured
roues	wheels
dessous	below
d’eux	of them
grinçaient	heart
mouvement	movement
brusque	sudden
semblait	seemed
perturbé	disturbed
par	by
froideur	coldness
contraire	contrary
l'observa	the observed
simplement	simply
pendant	during
m	m
o	o
t	t
co	co
e	e
s'il	if it
s'a	it was
g	g
i	i
ssait	ssait
d	d
'u	'u
n	n
ém	ms
issio	issio
télév	flat-screen satellite
isée	ized
érém	érém
intéressante	interesting
cliquetant	clicking
balançant	swinging
diligences	due diligence
le	the
convoi	convoy
vers	to
haut	top
route	road
quand	when
ils	they
passèrent	passed
entre	between
grands	great
piliers	pillars
pierres	stones
chaque	each
côté	side
portes	doors
l'école	the school
pencha	bent
avant	before
afin	in order
d'apercevoir	see
lumières	lights
cabane	hut
près	near
forêt	forest
interdite	prohibited
mais	but
toutes	all
étaient	were
l'obscurité	the dark
plus	more
complète	complete
château	castle
poudlard	hogwarts
cependant	however
apparaissait	appeared
indistinctement	without distinction
toujours	always
proche	close
d’imposantes	imposing
massives	massive
tourelles	turrets
menant	leading
ciel	sky
foncé	dark
ici	here
là	there
flambant	brand
ardemment	eagerly
dessus	top
tintèrent	tintèrent
puis	then
firent	did
halte	stop
escaliers	stairs
pierre	stone
chêne	oak
sortit	went out
premier	first
diligence	diligence
retourna	returned
nouveau	new
pour	for
apercevoir	see
moindre	less
lumière	light
n'y	there
avait	had
décidément	decidedly
aucun	no
signe	sign
vie	life
À	To
contrecœur	reluctantly
parce	because
qu'il	it
moitié	half
espéré	hoped
qu’elles	they
sauraient	not
volatilisée	crumbled
posa	posa
son	its
sur	on
créatures	creatures
étranges	strange
squelettiques	skeletal
tenant	taking into
tranquillement	quietly
l'air	the air
froid	cold
nuit	night
leurs	their
yeux	eyes
blanc	white
brillant	brilliant
a	has
passé	past
l'expérience	the experience
voir	see
quelque	some
chose	thing
n’était	there was
qu’une	a
réflexion	reflection
miroir	mirror
beaucoup	a lot
immatériel	intangible
