chapitre	chapter
38	38
la	the
deuxième	second
guerre	war
commence	begins
celui	the
dont	which
on	it
ne	do
doit	must
pas	not
prononcer	pronounce
le	the
nom	name
est	is
revenu	income
dans	in
un	a
rapide	fast
compte-rendu	report
vendredi	Friday
soir	evening
ministre	minister
de	of
magie	magic
cornélius	cornelius
fudge	fudge
a	has
confirmé	confirmed
que	that
retour	return
au	the
pays	country
plus	more
affairé	busy
jamais	never
c’est	it is
avec	with
grand	great
regret	regret
je	I
dois	do
confirmer	confirm
magicien	magician
se	is
nommant	naming
lui-même	himself
lord	lord
–	-
vous	you
voyez	see
qui	that
veux	want to
parler	talk
vivant	living
et	and
parmi	among
dit	said
d’un	a
air	air
à	to
fois	time
brisé	broken
troublé	troubled
en	in
s’adressant	addressing
aux	the
journalistes	journalists
presque	almost
autant	as much
regrets	regrets
nous	we
ajournons	defer
révolte	revolt
masse	mass
des	of
détraqueurs	détraqueurs
d’azkaban	of azkaban
ont	have
refusé	refused
poursuivre	continue
leur	their
profession	profession
sein	within
du	the
ministère	department
pensons	think
les	the
rallient	rally
actuellement	currently
fidèles	faithful
machin	machin
chose	thing
encourageons	encourage
population	population
monde	world
sorcier	sorcerer
tenir	take
vigilante	vigilant
publie	publishes
ce	this
moment	time
guides	guides
élémentaire	elementary
vie	life
défense	defence
personnelle	personal
seront	will be
distribués	distributed
gratuitement	free
tous	all
sorciers	wizards
avant	before
mois	months
prochain	next
compte	account
rendu	rendering
été	been
reçu	received
effroi	dread
alerte	alert
part	share
communauté	community
aussi	also
récemment	recently
mercredi	Wednesday
dernier	last
recevait	received
l’assurance	insurance
qu’il	it
n’y	there
avait	had
aucune	no
forme	form
vérité	truth
ces	these
rumeurs	rumors
persistantes	persistent
visant	aimed
démontrer	demonstrate
celui-dont-on-ne-doit-pas-prononcer-le-nom	he-who-are-not-must-not-pronounce-the-name
conspire	conspires
nouveau	new
contre	against
détails	details
l'incident	the incident
poussé	pushed
changé	changed
d’avis	notice
sont	are
encore	yet
vagues	wave
même	even
s’il	if it
présumé	alleged
groupe	group
(connus	(known
sous	under
mangemorts)	mangemorts)
pénétré	penetrated
jeudi	Thursday
albus	albus
dumbledore	dumbledore
rétabli	restored
poste	post
directeur	director
l’ecole	the school
sorcellerie	witchcraft
poudlard	hogwarts
membre	member
confédération	confederation
réhabilité	rehabilitated
commander	order
ordre	order
merlin	merlin
jusqu’ici	up here
indisponible	unavailable
pour	for
tout	all
commentaire	comment
il	it
insisté	insisted
long	long
l’année	the year
dernière	last
sur	on
fait	fact
celui-dont-	he-who-
on-ne-doit-pas-prononcer-le-nom	we-do-must-not-pronounce-the-name
n’était	there was
mort	death
plein	full
d’espérance	hope
croyance	belief
mais	but
recrute	recruits
essayer	try
une	a
d’accentuer	to accentuate
son	its
pouvoir	power
temps	time
¢	¢
garçon	boy
survécu	survived
-	-
tu	you
y	there
es	es
harry	harry
savais	knew
te	te
mêlerai	mêlerai
ça	it
d’une	a
manière	way
ou	or
autre	other
hermione	hermione
regardant	looking at
haut	top
journal	journal
ils	they
étaient	were
bâtiment	building
l’infirmerie	the infirmary
était	was
assis	sitting
bas	the bottom
lit	bed
ron	ron
écoutaient	listened to
deux	two
lisait	read
première	first
page	page
gazette	gazette
ginny	ginny
cheville	ankle
soignée	neat
clin	clin
d’œil	eye
par	by
madame	mrs.
pomfresh	pomfresh
s’installait	settled
chevet	bedside
d’hermione	of hermione
neville	neville
nez	nose
sa	its
taille	size
normale	normal
chaise	chair
entre	between
lits	beds
enfin	finally
luna	luna
passée	past
rendre	make
visite	visit
ses	its
mains	hands
édition	edition
chicaneur	cavil
lisant	reading
semblant	pretend
prêté	lent
attention	attention
qu’hermione	as hermione
disait	said
n’est-ce	is this
sombrement	darkly
s’agit	is
tentative	attempt
mettre	put
valeur	value
maintenant	now
hein	eh
prit	took
grande	great
poignée	handle
chocogrenouille	chocogrenouille
l’immense	the immense
pile	battery
table	table
lança	launched
quelques	a few
unes	each
arracha	tore
l’emballage	the packaging
sien	his
dents	teeth
toujours	always
profondes	deep
marques	brands
avant-bras	forearm
là	there
où	where
tentacules	tentacles
cerveau	brain
l’avaient	had
saisi	seized
selon	according to
pensées	thoughts
peuvent	can
laisser	let
choc	shock
profond	deep
toute	any
ainsi	as well
depuis	since
qu’elle	it
appliqué	applied
nombreuses	many
couches	layers
pommade	ointment
docteur	doctor
ubbly	ubbly
semblait	seemed
avoir	have
améliorations	improvements
oui	yes
font	do
d’éloges	praise
ton	your
égard	respect
parcourant	browsing
l’article	article
voix	voice
isolée…perçue	isolated perceived...
comme	as
déséquilibrée	unbalanced
hésitant	hesitating
histoire…forcé	story...forced
supporter	bear
ridicule	ridiculous
calomnies…	slander...
hummm	hmmm
dit-elle	she said
mécontent	unhappy
j’ai	I
remarqué	noticed
qu’ils	they
mentionnent	mention
c’était	it was
eux	them
nourrissaient	fed
calomnies	slander
elle	it
cilla	cilla
méprisant	despising
posa	posa
main	hand
cotes	ratings
sort	fate
dolohov	dolohov
utilisé	used
bien	well
moins	less
palpable	palpable
aurait	would
pu	could
crier	shout
formule	formula
néanmoins	nevertheless
causé	caused
termes	terms
déjà	already
mal	evil
dégâts	damage
assumer	assume
obligé	forced
prendre	take
dix	ten
sortes	kinds
potions	potions
différentes	different
jours	days
rétablissait	mending
très	very
assez	enough
rester	stay
bâtiments	buildings
prise	outlet
savez	know
quatre	four
dû	due
dire	say
cinq	five
pourquoi	why
personne	person
n’écoutait	not listened to
six	six
huit	eight
interview	interview
exclusif	exclusive
potter	potter
neuf…	nine...
pliant	folding
jetant	throwing
coté	side
certainement	certainly
donné	given
beaucoup	a lot
sujets	topics
d’écriture	writing
cette	this
d’harry	harry
n’est	there is
exclusive	exclusive
celle	the
faite	made
plusieurs	several
déjà…	already...
papa	dad
vendu	sold
faiblement	low
tournant	turning
obtenu	obtained
bon	good
prix	price
partons	start
expédition	shipping
suède	sweden
cet	this
voir	see
si	if
l’on	we
peut	can
attraper	catch
crumple-horned	crumple-horned
snorkack*	snorkack*
*crumple-horned	*crumple-horned
snorkack	snorkack
plissé	pleated
corné	horny
sembla	seemed
suffoquer	suffocate
puis	then
ca	ca
l’air	the air
merveilleux	wonderful
croisa	crossed
regard	look
s’empressa	hastened
regarder	watch
ailleurs	elsewhere
souriant	smiling
quoi	what
soit	either
s’asseyant	sitting
peu	little
droite	right
sourcillant	sourcillant
va-t-il	will he
arriver	getting
flitwick	flitwick
s’est	is
débarrassé	free
marais	marsh
fred	fred
georges	georges
lui	him
pris	taken
environ	about
trois	three
secondes	seconds
laissé	left
petit	small
morceau	song
fenêtre	window
n’a	did
réussit	successful
enlever	remove
ahuri	bemused
oh	oh
juste	just
sacré	sacred
magique	magic
haussant	raising
épaules	shoulders
pense	think
l’a	the
guise	as
monument	monument
l’honneur	the honor
bouche	mouth
remplie	filled
chocolat	chocolate
m’ont	I have
envoyé	sent
expliqua	explained
t-il	t-he
désignant	designating
petite	small
montagne	mountain
devant	before
doivent	must
s’en	in
tirer	shoot
magasin	store
farces	pranks
blâmant	blaming
demanda	asked
problèmes	problems
vont	go
stopper	stop
neuville	neuville
redevenu	again
normal	normal
suppose	guess
rusard	rusard
heureux	happy
appuyant	pressing
carte	card
l’effigie	the effigy
pot	pot
eau	water
réalité	reality
malheureux…	unfortunate...
baissant	lowering
jusqu’un	until a
silence	silence
cesse	stops
répéter	repeat
qu’umbridge	that umbridge
meilleure	best
arrivé	arrived
poudlard…	hogwarts...
regardèrent	looked
autour	around
professeur	professor
umbridge	umbridge
allongé	lying
l’opposé	the opposite
regardait	watched
vers	to
plafond	ceiling
s’était	had
engouffré	swallow
seul	only
forêt	forest
sauver	save
centaures	centaurs
comment	how
avait-il	had he
ressorti	out
arbres	trees
retenaient	holding
sans	without
serait-ce	would it be
qu’une	a
seule	only
égratignure	scratch
savait	knew
n’allait	did
sûrement	surely
raconter	tell
revenue	revenue
château	castle
n’avait	had
prononcé	pronounced
moindre	less
mot	word
leurs	their
connaissances	knowledge
non	not
habituelle	usual
coupe	cup
cheveux	hair
désordre	disorder
restait	remained
petites	small
brindilles	twigs
coincées	stuck
dedans	in
autrement	otherwise
d’être	to be
saine	healthy
sauve	saves
soupira	sighed
vexé	vexed
ouais	yeah
montre	watch
signes	signs
quand	when
fais	do
faisant	making
langue	language
petits	small
bruits	noise
claquements	clicks
releva	rose
d’elle	it
méchamment	wickedly
quelque	some
va	will
interrogea	asked
passant	from
tête	head
porte	door
bureau	office
non…non	no...no
réinstallant	reinstalling
oreillers	pillows
faire	do
rêve	dream
dissimulèrent	dissimulèrent
rires	laughter
chemises	shirts
nuit	night
parlant	speaking
calmé	calmed down
divination	divination
est-ce	is this
firenze	firenze
reste	rest
autres	other
voudront	want to
revienne	return
nan	nan
apparemment	apparently
trelawney	trelawney
enseigner	teach
parie	bet
espère	hope
débarrasser	rid
mâchant	chewing
quatorzième	fourteenth
sujet	about
entier	integer
intérêt	interest
moi	me
vraiment	really
meilleur…	best...
peux	can
cela	this
après	after
qu’on	we
réalisé	made
existait	was
véritables	true
prophéties	prophecies
cœur	heart
commença	started
s’emballer	away
signifiait	meant
prophétie	prophecy
cassée	broken
essayait	tried
marches	steps
chambre	room
morts	dead
corrigé	fix
croyaient	believed
prêt	loan
expressions	expressions
dirait	looks like
serait	would be
meurtrier	murderer
victime	victim
d’autre	on the other
issue…	outcome...
dommage	damage
ait	has
calmement	calmly
secouant	shaking
vrai	true
su	su
renfermait	contained
vas-tu	are you going to
ajouta-t-il	he added
surpris	surprised
déçu	disappointed
qu’harry	harry
lève	up
euh…c’est	uh...this is
hagrid	hagrid
vient	comes
revenir	return
promis	promised
j’irai	I will go
allez	go
d’accord	agreement
alors	then
travers	through
dortoir	dormitory
s’ouvrait	opened
ciel	sky
bleu	blue
j’aurai	I will have
aimé	loved
