chapitre	chapter
1	1
le	the
survivant	survivor
mr	mr
et	and
mrs	mrs
dursley	dursley
qui	that
habitaient	lived
au	the
4	4
privet	privet
drive	drive
avaient	had
toujours	always
affirmé	said
avec	with
la	the
plus	more
grande	great
fierté	pride
qu'ils	they
étaient	were
parfaitement	perfectly
normaux	normal
merci	thank you
pour	for
eux	them
jamais	never
quiconque	anyone
n'aurait	would
imaginé	imagined
puissent	can
se	is
trouver	find
impliqués	involved
dans	in
quoi	what
que	that
ce	this
soit	either
d'étrange	strange
ou	or
de	of
mystérieux	mysterious
ils	they
n'avaient	had
pas	not
temps	time
à	to
perdre	lose
des	of
sornettes	drivel
dirigeait	led
grunnings	grunnings
une	a
entreprise	company
fabriquait	manufactured
perceuses	drills
c'était	it was
un	a
homme	man
grand	great
massif	massive
n'avait	had
pratiquement	virtually
cou	neck
mais	but
possédait	had
en	in
revanche	contrast
moustache	mustache
belle	beautiful
taille	size
quant	as
elle	it
était	was
mince	thin
blonde	blonde
disposait	had
d'un	a
deux	two
fois	time
long	long
moyenne	average
lui	him
fort	fort
utile	useful
espionner	spy
ses	its
voisins	neighbors
regardant	looking at
par-dessus	above
les	the
clôtures	fences
jardins	gardens
petit	small
garçon	boy
prénommé	named
dudley	dudley
leurs	their
yeux	eyes
bel	beautiful
enfant	child
du	the
monde	world
tout	all
voulaient	wanted
seule	only
chose	thing
indésirable	junk
possédaient	had
secret	secret
dont	which
craignaient	feared
qu'on	we
découvre	discover
jour	day
si	if
venait	came
entendre	hear
parler	talk
potter	potter
convaincus	convinced
ne	do
s'en	in
remettraient	call
sœur	sister
toutes	all
s'étaient	had
revues	reviews
depuis	since
années	years
fait	fact
faisait	was
comme	as
fille	girl
unique	single
car	because
sa	its
son	its
bon	good
rien	nothing
mari	husband
aussi	also
éloignés	remote
possible	possible
tremblaient	the trembling
d'épouvante	horror
pensée	thought
diraient	would say
par	by
malheur	woe
montraient	showed
leur	their
rue	street
savaient	knew
l'avaient	had
vu	seen
existence	existence
constituait	was
raison	reason
supplémentaire	additional
tenir	take
distance	distance
il	it
n'était	there was
question	question
mette	mette
fréquenter	attend
celui-là	this one
lorsque	when
s'éveillèrent	awoke
matin	morning
mardi	Tuesday
où	where
commence	begins
cette	this
histoire	history
gris	grey
triste	sad
ciel	sky
nuageux	cloudy
laissait	left
prévoir	provide
choses	things
étranges	strange
mystérieuses	mysterious
allaient	would
bientôt	soon
produire	produce
pays	country
fredonnait	hummed
air	air
nouant	building
cravate	tie
sinistre	disaster
aller	go
travailler	work
racontait	told
ton	your
badin	badin
derniers	last
potins	gossip
quartier	district
s'efforçant	striving
d'installer	install
sur	on
chaise	chair
bébé	baby
jeune	young
braillait	howling
toute	any
force	force
poumons	lungs
aucun	no
d'eux	of them
remarqua	noticed
gros	wholesale
hibou	owl
plumage	plumage
mordoré	golden brown
voleta	voleta
devant	before
fenêtre	window
a	has
huit	eight
heures	hours
demie	half
prit	took
attaché-case	briefcase
déposa	filed
baiser	fuck
joue	plays
essaya	tried
d'embrasser	kissing
sans	without
succès	success
celui-ci	it
proie	prey
petite	small
crise	crisis
colère	anger
s'appliquait	applied
jeter	throw
contre	against
murs	walls
pièce	room
contenu	content
assiette	plate
céréales	cereals
sacré	sacred
bonhomme	man
gloussa	chuckled
quittant	leaving
maison	home
monta	went up
voiture	car
recula	backed
l'allée	the aisle
menait	led
fut	was
coin	corner
qu'il	it
première	first
détail	detail
insolite	unusual
chat	cat
lisait	read
carte	card
routière	overland
pendant	during
