chapitre	chapter
3	3
les	the
lettres	letters
de	of
nulle	void
part	share
la	the
fuite	leak
du	the
boa	boa
brésilien	brazilian
valut	earned
à	to
harry	harry
plus	more
longue	long
punition	punishment
qu'il	it
eût	had
jamais	never
reçue	received
lorsqu'il	when it
fut	was
enfin	finally
autorisé	authorized
ressortir	out
son	its
placard	closet
vacances	holiday
d'été	summer
avaient	had
déjà	already
commencé	started
et	and
dudley	dudley
avait	had
eu	had
le	the
temps	time
casser	break
nouveau	new
caméscope	camcorder
d'écraser	crush
au	the
sol	soil
avion	aircraft
radio-	radio-
commandé	ordered
d'étrenner	of première
vélo	bike
course	race
en	in
renversant	reversing
mrs	mrs
figg	figg
qui	that
traversait	crossed
privet	privet
drive	drive
avec	with
ses	its
béquilles	crutches
était	was
content	content
que	that
l'école	the school
ait	has
pris	taken
fin	end
mais	but
il	it
n'arrivait	there was
pas	not
échapper	escape
bande	band
venait	came
chaque	each
jour	day
maison	home
piers	piers
dennis	dennis
malcolm	malcolm
gordon	gordon
étaient	were
tous	all
grands	great
stupides	stupid
comme	as
encore	yet
grand	great
bête	beast
qu'eux	that they
c'était	it was
lui	him
chef	chief
autres	other
ravis	happy
pratiquer	practice
sport	sport
préféré	favorite
chasse	hunting
c'est	it is
pourquoi	why
passait	passed
possible	possible
hors	out
se	is
promener	walk
dans	in
environs	surrounding area
pensant	thinking
des	of
représentait	represented
pour	for
une	a
minuscule	tiny
lueur	glow
d'espoir	hope
car	because
septembre	September
entrerait	would
collège	college
première	first
fois	time
sa	its
vie	life
ne	do
serait	would be
même	even
école	school
irait	would
smelting	smelting
un	a
privé	private
où	where
l'oncle	uncle
vernon	vernon
fait	fact
études	studies
polkiss	polkiss
y	there
inscrit	registered
aussi	also
devrait	should
contenter	just
quartier	district
ravi	ravi
là	there
tu	you
vas	vas
on	it
met	puts
tête	head
nouveaux	new
trou	hole
toilettes	toilet
dit-il	he said
si	if
veux	want to
t'entraîner	lead you
monte	monte
moi	me
salle	room
bains	bathroom
non	not
merci	thank you
répondit	replied
ces	these
pauvres	poor
n'ont	have
vu	seen
quelque	some
chose	thing
d'aussi	as
atroce	atrocious
ta	your
ça	it
rendrait	would
malades	sick
prit	took
aussitôt	as soon
avant	before
compris	including
ce	this
dit	said
juillet	July
tante	aunt
pétunia	petunia
emmena	took
londres	london
acheter	buy
l'uniforme	the uniform
nouvelle	new
elle	it
déposa	filed
chez	in
moins	less
pénible	painful
qu'à	as
l'ordinaire	the ordinary
s'était	had
cassé	broken
jambe	leg
trébuchant	stumbling
sur	on
chats	cats
peu	little
refroidi	cooled
passion	passion
qu'elle	it
leur	their
portait	wore
habituellement	usually
regarder	watch
télévision	tv
mangeant	eating
gâteau	cake
chocolat	chocolate
dû	due
séjourner	stay
