chapitre	chapter
15	15
la	the
forêt	forest
interdite	prohibited
les	the
choses	things
n'auraient	would
pas	not
pu	could
tourner	turn
plus	more
mal	evil
rusard	rusard
conduisit	led
dans	in
le	the
bureau	office
du	the
professeur	professor
mcgonagall	mcgonagall
où	where
ils	they
s'assirent	sat
en	in
silence	silence
hermione	hermione
tremblait	shaking
harry	harry
tournait	turned
et	and
retournait	returned
sa	its
tête	head
toutes	all
excuses	apologies
qu'il	it
pouvait	could
trouver	find
pour	for
justifier	justify
leur	their
conduite	conduct
mais	but
aucune	no
ne	do
paraissait	seemed
convaincante	convincing
étaient	were
pris	taken
au	the
piège	trap
comment	how
avaient-ils	had they
être	be
assez	enough
stupides	stupid
oublier	forget
cape	cape
excuse	excuse
monde	world
pourrait	could
aux	the
yeux	eyes
qu'ils	they
se	is
promènent	walk
ainsi	as well
milieu	middle
de	of
nuit	night
surtout	especially
haute	high
tour	tour
d'astronomie	astronomy
qui	that
était	was
réservée	reserved
cours	during
si	if
l'on	we
ajoutait	added
norbert	norbert
d'invisibilité	invisibility
pouvaient	could
tout	all
aussi	also
bien	well
faire	do
valise	suitcase
dès	as soon
maintenant	now
comble	fills
malheur	woe
lorsque	when
réapparut	reappeared
elle	it
tenait	held
neville	neville
par	by
bras	arm
s'écria	cried
je	I
t'ai	you've
cherché	sought
te	te
prévenir	prevent
j'ai	I
entendu	heard
malefoy	malfoy
dire	say
allait	would
coincer	stuck
il	it
a	has
dit	said
que	that
tu	you
avais	had
un	a
drag	drag
fit	fit
signe	sign
frénétique	frantic
interrompre	interrupt
l'avait	had
vu	seen
semblait	seemed
tel	such
état	state
fureur	fury
qu'elle	it
aurait	would
cracher	spit
feu	fire
beaucoup	a lot
mieux	better
n'aurais	would have
jamais	never
cru	raw
ça	it
vous	you
mr	mr
m'a	me
étiez	were
sommet	summit
or	gold
est	is
une	a
heure	time
matin	morning
j'exige	I require
des	of
explications	explanations
première	first
fois	time
fut	was
incapable	unable
répondre	reply
à	to
question	question
d'un	a
restait	remained
immobile	still
comme	as
statue	statue
fixés	set
sur	on
bout	end
ses	its
chaussons	slippers
petite	small
idée	idea
ce	this
s'est	is
passé	past
reprit	took
n'est	there is
nécessaire	necessary
d'être	to be
génie	engineering
comprendre	understand
avez	have
raconté	told
drago	drago
histoire	history
dormir	sleep
debout	standing
sujet	about
prétendu	alleged
dragon	dragon
l'attirer	the draw
hors	out
son	its
lit	bed
lui	him
créer	create
ennuis	trouble
l'ai	I
déjà	already
fait	fact
devez	must
très	very
contents	happy
londubat	londubat
ait	has
également	also
votre	your
croisa	crossed
regard	look
essaya	tried
n'était	there was
vrai	true
avait	had
effet	effect
remarqué	noticed
expression	expression
stupéfaite	stunned
peinée	pained
pauvre	poor
savait	knew
dû	due
coûter	cost
partir	from
recherche	search
l'obscurité	the dark
château	castle
suis	am
outrée	outraged
quatre	four
élèves	students
couloirs	corridors
même	even
n'ai	haven
chose	thing
pareille	such
miss	miss
granger	granger
pensais	thought
raisonnable	reasonable
quant	as
potter	potter
croyais	thought
attachiez	buckling
prix	price
prestige	prestige
gryffondor	gryffindor
serez	will be
tous	all
trois	three
retenue	withholding
croyez-moi	believe me
aurez	will
travail	work
oui	yes
rien	nothing
autorise	authorizes
errer	wander
pleine	full
encore	yet
moins	less
cette	this
période	period
c'est	it is
extrêmement	extremely
dangereux	dangerous
j'enlève	I take off
cinquante	fifty
points	points
s'exclama	exclaimed
suffoqué	muffled
perdaient	lost
coup	blow
championnat	championship
avaient	had
gagnée	won
lors	when
dernier	last
match	match
quidditch	quidditch
chacun	each
précisa	said
s'il	if it
plaît	please
pouvez	can
me	me
peux	can
ou	or
retournez	return
coucher	bedroom
m'ont	I have
autant	as much
honte	shame
cent	cent
perdus	lost
relégué	relegated
dernière	last
place	place
seule	only
perdre	lose
toute	any
chance	chance
remporter	win
coupe	cup
maisons	houses
pourraient-ils	could they
rattraper	catch up
handicap	disability
dormit	slept
entendit	heard
sangloter	sob
oreiller	pillow
heures	hours
entières	whole
quoi	what
consoler	comfort
redoutait	feared
l'aube	dawn
qu'arriverait-il	what would happen
autres	other
apprendraient	learn
s'était	had
lendemain	next day
quand	when
passèrent	passed
devant	before
sabliers	hourglasses
géants	giants
comptabilisaient	tracked
chaque	each
maison	home
crurent	believed
d'abord	first
erreur	error
auraient-ils	would they
l'histoire	the story
commença	started
alors	then
répandre	spread
c'était	it was
célèbre	famous
héros	hero
deux	two
derniers	last
matches	matches
ces	these
idiots	idiots
année	year
été	been
populaire	popular
admiré	admired
l'école	the school
devint	became
brusquement	suddenly
celui	the
qu'on	we
détestait	hated
serdaigle	ravenclaw
poufsouffle	hufflepuff
s'en	in
prenaient	took
car	because
espéré	hoped
serpentard	slytherin
perdraient	lose
partout	everywhere
apparaissait	appeared
on	it
montrait	showed
doigt	finger
l'insultait	the insulted
voix	voice
revanche	contrast
applaudissaient	clapping
l'acclamaient	cheered
voyaient	saw
passer	pass
merci	thank you
main	hand
n'y	there
ron	ron
rester	stay
fidèle	faithful
auront	will
oublié	forgot
quelques	a few
semaines	weeks
assura-t-il	assured-t-he
fred	fred
george	george
ont	have
quantités	quantities
pendant	during
temps	time
ici	here
aime	love
n'ont	have
j'imagine	I guess
air	air
malheureux	unhappy
non	not
admit	admitted
peu	little
tard	later
réparer	repair
dégâts	damage
jura	jura
désormais	now
mêler	mix
regardait	watched
sentait	felt
