chapitre	chapter
11	11
le	the
match	match
de	of
quidditch	quidditch
temps	time
froid	cold
novembre	November
enveloppa	wrapped
glace	ice
les	the
montagnes	mountains
qui	that
entouraient	surrounded
l'école	the school
et	and
la	the
surface	surface
du	the
lac	lake
prit	took
une	a
couleur	color
d'acier	steel
chaque	each
matin	morning
sol	soil
était	was
couvert	covered
givre	frost
l'on	we
voyait	saw
hagrid	hagrid
emmitouflé	bundled up
dans	in
un	a
gros	wholesale
manteau	coat
dégivrait	dégivrait
balais	brushes
sur	on
terrain	field
saison	season
avait	had
commencé	started
samedi	Saturday
suivant	following
harry	harry
allait	would
jouer	play
son	its
premier	first
après	after
des	of
semaines	weeks
d'entraînement	training
gryffondor	gryffindor
contre	against
serpentard	slytherin
si	if
gagnait	won
équipe	team
prendrait	would
deuxième	second
place	place
championnat	championship
presque	almost
personne	person
n'avait	had
vu	seen
s'entraîner	train
il	it
devenu	now
l'arme	the weapon
secrète	secret
l'équipe	the team
dubois	dubois
gardait	kept
soigneusement	carefully
à	to
l'écart	the gap
y	there
eu	had
fuites	leaks
cependant	however
savait	knew
qu'il	it
jouerait	play
au	the
poste	post
d'attrapeur	of monkey net
ne	do
pas	not
ce	this
pire	worst
pour	for
lui	him
ceux	those
affirmaient	said
être	be
brillant	brilliant
ou	or
promettaient	promised
suivre	follow
avec	with
matelas	mattress
amortir	cushion
sa	its
chute	fall
en	in
tout	all
cas	case
l'amitié	the friendship
d'hermione	of hermione
été	been
utile	useful
elle	it
l'avait	had
aidé	helped
faire	do
ses	its
devoirs	duties
compenser	offset
passait	passed
également	also
prêté	lent
travers	through
âges	ages
dont	which
lecture	reading
s'était	had
révélée	revealed
très	very
instructive	informative
notamment	in particular
appris	learned
existait	was
sept	seven
cents	cents
fautes	mistakes
possibles	possible
qu'elles	they
avaient	had
toutes	all
commises	committed
cours	during
d'un	a
coupe	cup
monde	world
1473	1473
que	that
attrapeurs	rat catchers
étaient	were
généralement	generally
joueurs	players
plus	more
petits	small
rapides	fast
qu'ils	they
exposés	exposed
aux	the
accidents	accidents
graves	serious
arbitres	referees
parfois	sometimes
disparu	gone
réapparaître	reappear
mois	months
tard	later
désert	desert
sahara	sahara
qu'enfin	finally
on	it
mourait	died
rarement	rarely
matches	matches
hermione	hermione
peu	little
moins	less
cheval	horse
règlement	regulation
depuis	since
ron	ron
l'avaient	had
sauvée	saved
troll	troll
se	is
montrait	showed
beaucoup	a lot
aimable	kind
veille	eve
s'étaient	had
retrouvés	found
cour	court
pendant	during
récréation	recreation
température	temperature
glaciale	icy
mais	but
réussi	successful
fabriquer	make
par	by
tour	tour
magie	magic
feu	fire
vif	bright
clair	clear
qu'elle	it
pouvait	could
transporter	carry
bocal	jar
confiture	jam
répandait	spread
douce	soft
chaleur	heat
debout	standing
côte	coast
ils	they
réchauffaient	warmed
flamme	flame
bleue	blue
cachant	hiding
derrière	behind
eux	them
peur	fear
qu'on	we
leur	their
confisque	impounds
lorsqu'ils	when they
virent	saw
rogue	rogue
traverser	cross
remarqua	noticed
aussitôt	as soon
boitait	lame
décela	décela
sans	without
doute	doubt
vague	wave
culpabilité	guilt
l'expression	the expression
visage	face
clopina	clopina
droit	right
vers	to
toute	any
évidence	obviously
cherchait	was looking for
quelque	some
chose	thing
reprocher	blame
qu'est-ce	what is this
vous	you
avez	have
là	there
potter	potter
demanda-t-il	he asked
c'était	it was
montra	showed
livre	book
est	is
interdit	prohibited
d'emporter	take
livres	books
bibliothèque	library
dehors	outside
murs	walls
château	castle
fit	fit
observer	observe
donnez-le-moi	give it to me
j'enlève	I take off
cinq	five
